tis_number,tis_name_th,num_manufacturing_licenses,num_manufacturing_entrepreneurs,num_import_licenses,num_import_entrepreneurs,num_display_licenses,num_display_entrepreneurs,total_licenses,snapshot_date
2109 เล่ม 2-2559,ฟิวส์แรงดันไฟฟ้าต่ำ เล่ม 2 คุณลักษณะที่ต้องการเพิ่มเติมสำหรับฟิวส์ที่ใช้โดยบุคคลที่ได้รับอนุญาต (ฟิวส์สำหรับใช้ในงานอุตสาหกรรมเป็นหลัก) - ตัวอย่างของระบบฟิวส์มาตรฐาน A ถึง K,0,0,0,0,4,4,4,2025-11-01
2115-2545,ไม้พื้นอัดซ้อนเคลือบผิวสำเร็จ,0,0,0,0,1,1,1,2025-11-01
2117-2545,ผลิตภัณฑ์ทำความสะอาดเครื่องครัว,0,0,0,0,1,1,1,2025-11-01
2118-2545,ที่รองนั่งและฝาพลาสติกสำหรับโถส้วม,0,0,0,0,1,1,1,2025-11-01
213-2560,คอนกรีตผสมเสร็จ,0,0,0,0,1432,962,1432,2025-11-01
2132-2564,เหล็กแผ่นเคลือบสังกะสีโดยกรรมวิธีจุ่มร้อน และเคลือบสี : แผ่นลอน,0,0,0,0,3,2,3,2025-11-01
2133-2545,ท่อเหล็กกล้าอ่อนเคลือบสังกะสีสำหรับร้อยสายไฟฟ้า,0,0,0,0,1,1,1,2025-11-01
2134-2553,เครื่องปรับอากาศสำหรับห้อง : ประสิทธิภาพพลังงาน,729,39,187,65,0,0,916,2025-11-01
2135-2545,เถ้าลอยจากถ่านหินใช้เป็นวัสดุผสมคอนกรีต,0,0,0,0,1,1,1,2025-11-01
2136-2545,แอนทราไซต์สำหรับกรองน้ำ,0,0,0,0,2,2,2,2025-11-01
2137-2559,เครื่องแบบนักเรียน : ข้อกำหนดทั่วไป,0,0,0,0,14,11,14,2025-11-01
2138-2559,เครื่องแบบนักเรียน : ผ้าเครื่องแบบนักเรียน,0,0,0,0,1,1,1,2025-11-01
214-2560,กระดาษชำระ,0,0,0,0,2,2,2,2025-11-01
2140-2560,เหล็กกล้าทรงแบนรีดเย็น สำหรับงานรถยนต์,36,24,91,33,0,0,127,2025-11-01
2141-2546,อ่างอาบน้ำอะคริลิกเสริมใยแก้ว,0,0,0,0,2,2,2,2025-11-01
