ลำดับ,เลขที่ มอก.,ชื่อ มอก. ภาษาไทย,ชื่อ มอก. ภาษาอังกฤษ,ประเภทมาตรฐาน,จำนวนใบอนุญาตทำ,จำนวนผู้ประกอบการทำ,จำนวนใบอนุญาตนำเข้า,จำนวนผู้ประกอบการนำเข้า,จำนวนใบอนุญาตแสดง,จำนวนผู้ประกอบการแสดง,จำนวนใบอนุญาตทั้งหมด
29,2166-2548,เคเบิลเส้นใยนำแสง เล่ม 3-20 : เคเบิลภายนอกอาคาร -ข้อกำหนดคุณลักษณะเป็นรายกลุ่มสำหรับเคเบิลเส้นใยนำแสงโทรคมนาคม แขวนในอากาศรับน้ำหนักตัวเองได้,Optical fiber cables - Part 3-20: outdoor cables - family specification for optical self-supporting aerial telecommunication cables,บังคับ,39,8,237,80,0,0,276
30,166-2549,เต้าเสียบและเต้ารับสำหรับใช้ในที่อยู่อาศัยและงานทั่วไปที่มีจุดประสงค์คล้ายกัน : เต้าเสียบและเต้ารับที่มีแรงดันไฟฟ้าที่กำหนดไม่เกิน 250 โวลต์,Plugs and socket-outlets for household and similar purposes : plugs and socket-outlets with rated voltage not exceeding 250 V,บังคับ,65,57,160,86,0,0,225
31,50-2565,เหล็กกล้าทรงแบนรีดเย็นเคลือบสังกะสีโดยกรรมวิธีจุ่มร้อน,Hot-dip zinc-coated cold reduced flat steel,บังคับ,62,50,154,77,0,0,216
32,1999-2560,เหล็กกล้าทรงแบนรีดร้อน สำหรับงานโครงสร้างรถยนต์,Hot-Rolled Flat Steel For Automobile Structural Uses,บังคับ,51,38,162,47,0,0,213
33,824-2551,สวิตช์ไฟฟ้าใช้ในที่อยู่อาศัยและสิ่งติดตั้งทางไฟฟ้ายึดกับที่ที่คล้ายกัน : ข้อกำหนดทั่วไป,Switches for household and similar fixed electical installations : general requirements,บังคับ,35,17,176,69,0,0,211
34,1693-2547,เครื่องทำน้ำร้อนไฟฟ้า น้ำผ่านร้อนทันที เฉพาะด้านความปลอดภัย,Instantaneous water heaters : safety requirements,บังคับ,71,15,135,49,0,0,206
35,721-2551,เข็มขัดนิรภัยสำหรับรถยนต์,Safety - belts for automobiles,บังคับ,22,6,182,52,0,0,204
36,2432-2555,เต้าเสียบและเต้ารับสำหรับใช้ในที่อยู่อาศัยและงานทั่วไปที่มีจุดประสงค์คล้ายกัน : ชุดสายพ่วง,Plugs and socket - outlets for household and similar purposes : cord extention sets,บังคับ,72,48,122,79,0,0,194
37,2780-2562,หลอดแอลอีดีมีบัลลาสต์ในตัวสำหรับการให้แสงสว่างทั่วไป ด้วยแรงดันไฟฟ้ามากกว่า 50 V - คุณลักษณะที่ต้องการด้านความปลอดภัย,Self-ballasted LED-lamps for general lighting services by voltage > 50 V - Safety specifications,บังคับ,11,11,181,119,0,0,192
38,2879-2560,แบตเตอรี่สำรองไฟฟ้าสำหรับการใช้งานแบบพกพา - คุณลักษณะที่ต้องการด้านความปลอดภัย,Portable power bank - safety requirements,บังคับ,12,10,171,109,0,0,183
39,965-2560,กระจกเทมเปอร์,Tempered glass,บังคับ,52,47,128,70,0,0,180
40,2493 เล่ม 2-2556,ภาชนะพลาสติกบรรจุอาหารสำหรับเตาไมโครเวฟ เล่ม 2 สำหรับการอุ่นครั้งเดียว,Plastic food containers for microwave Part 2 for single reheating,บังคับ,117,104,60,37,0,0,177
41,1463-2556,เครื่องซักผ้าใช้ในที่อยู่อาศัย - คุณลักษณะที่ต้องการด้านความปลอดภัย,Clothes washing machines for household use : safety requirements,บังคับ,21,11,155,44,0,0,176
42,2720-2560,ยางล้อแบบสูบลมสำหรับรถจักรยานยนต์และโมเปด,Pneumatic tyres for motor cycles and mopeds,บังคับ,21,18,150,66,0,0,171
43,60335 เล่ม 2(65)-2564,ความปลอดภัยของเครื่องใช้ไฟฟ้าสำหรับใช้ในที่อยู่อาศัยและเครื่องใช้ไฟฟ้าอื่นที่คล้ายกัน เล่ม 2(65) ข้อกำหนดเฉพาะสำหรับเครื่องฟอกอากาศ,Household and similar electrical appliances - safety - Part 2-65: Particular requirements for air-cleaning appliances,บังคับ,22,22,148,99,0,0,170
44,1166-2559,ท่อคอนกรีตเสริมเหล็กหล่อสำเร็จรูปสี่เหลี่ยมสำหรับงานระบายน้ำใต้ผิวจราจร วัสดุถมระหว่าง 0.6 m ถึง 3.0 m,Precast reinforced concrete box sections for drainage with 0.6 m. - 3.0 m of cover,ทั่วไป,0,0,0,0,149,128,149
45,2779-2562,หลอดแอลอีดีขั้วคู่ที่ออกแบบเพื่อเปลี่ยนทดแทนหลอดฟลูออเรสเซนซ์ชนิดตรง-คุณลักษณะที่ต้องการด้านความปลอดภัย,Double-capped LED lamps designed to retrofit linear fluorescent lamps - Safety specifications,บังคับ,14,14,135,98,0,0,149
46,1529-2561,เครื่องปรับอากาศ คุณลักษณะที่ต้องการด้านความปลอดภัย,Air-Conditioner safety requirement,บังคับ,32,28,107,61,0,0,139
47,909-2548,เครื่องตัดวงจรกระแสเหลือแบบมีอุปกรณ์ป้องกันกระแสเกิน สำหรับใช้ในที่อยู่อาศัยและใช้ในลักษณะที่คล้ายกัน,Residual current operated circuit-breakers with integral overcurrent protection for household and similar uses (RCBOs),บังคับ,33,11,105,50,0,0,138
48,1164-2559,ท่อคอนกรีตเสริมเหล็กหล่อสำเร็จรูปสี่เหลี่ยมสำหรับงานระบายน้ำใต้ทางเท้า วัสดุถมไม่เกิน 3.0 m,Precast reinforced concrete box sections for drainage,ทั่วไป,0,0,0,0,137,119,137
