ลำดับ,เลขที่ มอก.,ชื่อ มอก. ภาษาไทย,ชื่อ มอก. ภาษาอังกฤษ,ประเภทมาตรฐาน,จำนวนใบอนุญาตทำ,จำนวนผู้ประกอบการทำ,จำนวนใบอนุญาตนำเข้า,จำนวนผู้ประกอบการนำเข้า,จำนวนใบอนุญาตแสดง,จำนวนผู้ประกอบการแสดง,จำนวนใบอนุญาตทั้งหมด
121,1056 เล่ม 1-2556,ถุงมือสำหรับการตรวจวินิจฉัยทางการแพทย์ชนิดใช้ครั้งเดียว เล่ม 1 : เกณฑ์กำหนดสำหรับถุงมือที่ทำจากน้ำยางหรือสารละลายยาง,Single-use medical examination gloves Part 1 : Specification for gloves made from rubber latex or rubber solution,บังคับ,31,23,5,5,0,0,36
122,370-2552,ถังก๊าซปิโตรเลียมเหลวสำหรับเครื่องยนต์สันดาปภายใน,Liquefied petroleum gas cylinders for internal combustion engine,บังคับ,23,5,13,4,0,0,36
123,95-2540,ลวดเหล็กกล้าสำหรับคอนกรีตอัดแรง,Steel wires for prestressed concrete,บังคับ,30,14,6,4,0,0,36
124,1735-2563,เหล็กกล้าแผ่นม้วนรีดร้อน สำหรับงานท่อ,Hot-rolled steel strip for pipes and tubes,บังคับ,14,10,22,13,0,0,36
125,2321-2564,สีอิมัลชันทนสภาวะอากาศ,Weather resistant emulsion paints,ทั่วไป,0,0,0,0,36,35,36
126,747-2564,ลวดเหล็กกล้าดึงเย็นเสริมคอนกรีต,Cold-drawn steel wire for concrete reinforcement,ทั่วไป,0,0,0,0,36,36,36
127,382-2531,ประตูน้ำเหล็กหล่อ : ลิ้นปีกผีเสื้อ,Cast iron: butterfly valves,ทั่วไป,0,0,0,0,34,15,34
128,2424-2565,หน้ากากอนามัยใช้ครั้งเดียว,Single-use hyginic face masks,ทั่วไป,0,0,0,0,34,33,34
129,1165-2559,ท่อคอนกรีตเสริมเหล็กหล่อสำเร็จรูปสี่เหลี่ยมสำหรับงานระบายน้ำใต้ผิวจราจร วัสดุถมน้อยกว่า 0.6 m,Precast reinforced concrete box sections for drainage,ทั่วไป,0,0,0,0,33,25,33
130,683-2562,ยางในสำหรับรถจักรยานยนต์และโมเปด,Inner tubes for motorcycles and mopeds,บังคับ,20,14,12,11,0,0,32
131,327-2553,สีเคลือบเงาแอลคีด,Alkyd gloss enamel,ทั่วไป,0,0,0,0,31,26,31
132,437-2529,ตู้นิรภัยกันไฟแบบประตู,Fire resistance safes: door type,ทั่วไป,0,0,0,0,31,8,31
133,107-2566,ท่อเหล็กกล้าคาร์บอนสำหรับงานโครงสร้างทั่วไป,CARBON STEEL TUBES FOR GENERAL STRUCTURE,ทั่วไป,0,0,0,0,31,25,31
134,371-2530,แคตอิออนิกแอสฟัลต์อิมัลชันสำหรับถนน,Cationic asphalt emulsion for road,ทั่วไป,0,0,0,0,30,9,30
135,15-2562,ปูนซีเมนต์ปอร์ตแลนด์,Portland cement,บังคับ,15,9,15,12,0,0,30
136,272-2564,สีอิมัลชันใช้งานทั่วไป,Emulsion paints for general purposes,ทั่วไป,0,0,0,0,30,29,30
137,383-2529,ประตูน้ำเหล็กหล่อ : ลิ้นกันกลับชนิดแกว่ง,Cast iron check valves: swing type,ทั่วไป,0,0,0,0,29,14,29
138,2165-2561,เคเบิลเส้นใยนำแสง เล่ม 3(10) : เคเบิลภายนอกอาคาร - ข้อกำหนดคุณลักษณะเป็นรายกลุ่ม สำหรับเคเบิลเส้นใยนำแสงโทรคมนาคมชนิดติดตั้งในท่อร้อยสาย ฝังดินโดยตรง และแขวนในอากาศโดยใช้ลวดพัน,"Optical fibre cables Part 3-10: outdoor cables - family specification for duct, directly buried or lashed aerial optical telecommunication cables",บังคับ,5,5,23,18,0,0,28
139,1436 เล่ม 2-2564,ชุดประกอบสวิตช์เกียร์และเกียร์ควบคุมไฟฟ้าแรงดันต่ำ เล่ม 2 ชุดสวิตช์เกียร์และชุดเกียร์ควบคุม,Low-voltage swithgear and controlgear assemblies - Part 2: Power switchgear and controlgear assemblies,ทั่วไป,0,0,0,0,28,28,28
140,1288-2538,วงกบและกรอบบานโลหะสำหรับประตูและหน้าต่าง : ประตูเหล็กกล้าขึ้นรูปเย็น,Metal frames and panel-frames for doors and windows: cold formed steel doorsets,ทั่วไป,0,0,0,0,27,19,27
141,2336-2552,มาตรพลังงานไฟฟ้ากระแสสลับ : ข้อกำหนดเฉพาะ มาตรกลไฟฟ้าสำหรับพลังงานไฟฟ้าใช้งาน (ชั้น 0.5 ชั้น 1 และ ชั้น 2),"Electricity metering equipment (ac) - particular requirements - electromechanical meters for active energy (class 0.5 , 1 and 2)",ทั่วไป,0,0,0,0,27,15,27
142,404-2540,ลวดเหล็กกล้าเคลือบสังกะสีตีเกลียว,Galvanized steel wire strands,ทั่วไป,0,0,0,0,27,12,27
143,435-2548,ถังเก็บน้ำพลาสติกเสริมใยแก้ว,Glassfibre reinforced plastics water tanks,ทั่วไป,0,0,0,0,27,19,27
144,1368-2539,ประตูระบายอากาศสำหรับงานประปา,Air vent valves for water service,ทั่วไป,0,0,0,0,26,16,26
145,1128-2562,แผ่นเหล็กมุงหลังคา,Roofing steel sheet,ทั่วไป,0,0,0,0,26,24,26
146,3018-2563,รถยนต์ขนาดเล็กที่ใช้เครื่องยนต์แบบจุดระเบิดด้วยการอัด เฉพาะด้านความปลอดภัย : สารมลพิษจากเครื่องยนต์ ระดับที่ 8,"Light duty compression ignition engine vehicles : safety requirements; emission from engine, level 8",บังคับ,11,9,15,7,0,0,26
147,1025-2562,หัวนมยางดูดเล่น,Pacifier,บังคับ,11,10,15,14,0,0,26
148,787-2551,เครื่องยนต์ดีเซลขนาดเล็กระบายความร้อนด้วยน้ำ,Small size water cooled diesel engines,บังคับ,5,3,20,16,0,0,25
149,1013-2533,บานประตูพีวีซี,PVC door,ทั่วไป,0,0,0,0,24,18,24
150,165-2554,สารส้ม,"Aluminium sulphate, potash alum and ammonium alum",ทั่วไป,0,0,0,0,24,16,24
151,543-2550,ลูกแก้วที่ใช้กับวัสดุทำเครื่องหมายบนผิวทาง,Glass beads for road marking materials,ทั่วไป,0,0,0,0,24,21,24
152,284-2560,อะลูมิเนียมเจืออัดรีดขึ้นรูป,Aluminium alloy extruded shapes,ทั่วไป,0,0,0,0,24,22,24
153,943-2564,ลวดเหล็กกล้าข้ออ้อยดึงเย็นเสริมคอนกรีต,Cold-drawn deformed steel wire for concrete reinforcement,ทั่วไป,0,0,0,0,24,24,24
154,1149-2548,สีเทียน,Wax crayons,บังคับ,9,8,14,8,0,0,23
155,514-2531,เชือกลวดเหล็กกล้า,Steel wire ropes,ทั่วไป,0,0,0,0,23,4,23
156,851-2561,แอสฟัลต์ซีเมนต์สำหรับงานทาง,Asphalt cement for use in pavement construction,ทั่วไป,0,0,0,0,23,17,23
157,956-2557,หลอดฟลูออเรสเซนซ์ขั้วคู่ -คุณลักษณะที่ต้องการด้านความปลอดภัย,Double - Capped fluorescent lamps - Safety specifications,บังคับ,4,4,19,13,0,0,23
158,51-2562,สับปะรดในภาชนะบรรจุปิดสนิท,Pineapple in hermetically sealed containers,บังคับ,21,20,2,2,0,0,23
159,496-2553,ทินเนอร์สำหรับแล็กเกอร์,Lacquer thinner,บังคับ,22,21,0,0,0,0,22
160,1177-2556,น้ำยารองพื้นสำหรับพื้นผิวที่เป็นฝุ่น,Primer conditioner for chalking surfaces,ทั่วไป,0,0,0,0,21,19,21
161,1651-2541,วงกบและกรอบบานโลหะสำหรับประตูและหน้าต่าง : วงกบเหล็กกล้า,Metal frames and panel frames for doors and windows: steel frames,ทั่วไป,0,0,0,0,21,21,21
162,178-2549,แผ่นไม้อัด,Veneer plywood,ทั่วไป,0,0,0,0,21,12,21
163,2544-2555,มาตรพลังงานไฟฟ้ากระแสสลับ : ข้อกำหนดเฉพาะ มาตรอิเล็กทรอนิกส์สำหรับพลังงานใช้งาน (ชั้น 0.2S และชั้น 0.5S),Electricity metering equipment (AC) - particular requirements - static meters for active energy (class 0.2S and 0.5S),ทั่วไป,0,0,0,0,21,14,21
164,1505-2541,ชิ้นส่วนคอนกรีตมวลเบาแบบมีฟองอากาศ-อบไอน้ำ,Autoclaved aerated lightweight concrete elements,ทั่วไป,0,0,0,0,20,11,20
165,1956-2553,บริภัณฑ์เทคโนโลยีสารสนเทศ : ขีดจำกัดสัญญาณรบกวนวิทยุ,Information technology equipment : radio disturbance limits,ทั่วไป,0,0,0,0,20,5,20
166,415-2551,สีจราจร,Traffic paint,ทั่วไป,0,0,0,0,20,16,20
167,2060-2560,เหล็กกล้าทรงแบนรีดร้อน สำหรับงานถังก๊าซ,Hot-Rolled Flat Steel For Gas Cylinders,บังคับ,10,7,10,3,0,0,20
168,3000 เล่ม 4-2563,เครื่องเล่นสนามสาธารณะ เล่ม 4 อุปกรณ์โยก,Playground equipment for public use Part 4 Rocking,บังคับ,8,8,12,10,0,0,20
169,1407-2540,กระเบื้องซีเมนต์เส้นใยแผ่นลอน,Fibre-cement profile sheets,ทั่วไป,0,0,0,0,19,5,19
170,2703-2566,กาวซีเมนต์,CEMENT ADHESIVES,ทั่วไป,0,0,0,0,19,16,19
171,2594-2567,ปูนซีเมนต์ไฮดรอลิก,HYDRAULIC CEMENT,บังคับ,17,10,2,2,0,0,19
172,2253-2548,ข้อต่อเหล็กหล่อแกรไฟต์กลมสำหรับท่อส่งน้ำชนิดทนความดัน,Ductile iron pipe fittings for water pressure lines,ทั่วไป,0,0,0,0,18,12,18
173,531-2558,ภาชนะพลาสติกสำหรับบรรจุผลิตภัณฑ์เภสัชปราศจากเชื้อ,Plastics containers for sterile pharmaceutical products,บังคับ,16,14,2,1,0,0,18
174,759-2531,บานพับสำหรับประตูและหน้าต่าง : บานพับสองปีก,Hinges for doors and windows: butt hinges,ทั่วไป,0,0,0,0,18,11,18
175,398-2563,เสาเข็มคอนกรีตอัดแรงแบบแรงเหวี่ยง,Prestressed concrete spun piles,ทั่วไป,0,0,0,0,18,10,18
176,1220-2541,ชุดประตูทนไฟแบบบานเปิด,Fire-resistant doorsets: side hung,ทั่วไป,0,0,0,0,17,17,17
177,2234-2557,หลอดมีบัลลาสต์ในตัวสำหรับการให้แสงสว่างทั่วไป - คุณลักษณะที่ต้องการด้านความปลอดภัย,Self-ballasted lamps for general lighting services: Safety requirements,บังคับ,1,1,16,10,0,0,17
178,2611-2556,วัสดุโคลด์พลาสติกสำหรับทำเครื่องหมายบนผิวทาง,Cold plastics for road marking materials,ทั่วไป,0,0,0,0,17,12,17
179,2735-2559,มอร์ตาร์สำหรับฉาบคอนกรีตมวลเบา,Plastering mortar for lightweight concrete,ทั่วไป,0,0,0,0,17,12,17
180,756-2535,กุญแจลูกบิด,Cylindrical locks,ทั่วไป,0,0,0,0,17,10,17
181,2387-2555,สีรองพื้นกันสนิม,Anticorrosive priming paint,ทั่วไป,0,0,0,0,17,16,17
182,427-2562,ท่อเหล็กกล้าสำหรับส่งน้ำ,Steel water pipe,ทั่วไป,0,0,0,0,17,14,17
183,1427-2561,แผ่นซีเมนต์เส้นใย : แผ่นเรียบ,Fibre-cement sheets : Flat sheets,ทั่วไป,0,0,0,0,17,7,17
184,3000 เล่ม 2-2562,เครื่องเล่นสนามสาธารณะ เล่ม 2 กระดานลื่น ข้อกำหนดเฉพาะเพิ่มเติมด้านความปลอดภัย และวิธีทดสอบ,Playground equipment for public use Part 2 slides additional specific safety requirements and test methods,บังคับ,8,8,9,7,0,0,17
185,384 เล่ม 1-2567,หม้อแปลงไฟฟ้ากำลัง เล่ม 1 ข้อกำหนดทั่วไป,POWER TRANSFORMERS - PART 1: GENERAL,ทั่วไป,0,0,0,0,17,16,17
186,975-2538,กระบอกไฮดรอลิกสำหรับอุตสาหกรรมทั่วไป,Hydraulic cylinders for general industries,ทั่วไป,0,0,0,0,16,8,16
187,3000 เล่ม 1-2562,เครื่องเล่นสนามสาธารณะ เล่ม 1 ชิงช้า ข้อกำหนดเฉพาะเพิ่มเติมด้านความปลอดภัยและวิธีทดสอบ,Playground equipment for public use Part 1 swing additional specific safety requirements and test methods,บังคับ,8,8,8,7,0,0,16
188,541-2562,ออกซิเจนอุตสาหกรรม,Industrial oxygen,ทั่วไป,0,0,0,0,16,10,16
189,3000 เล่ม 3-2563,เครื่องเล่นสนามสาธารณะ เล่ม 3 ม้าหมุน,Playground equipment for public use Part 3 Carousel,บังคับ,7,7,9,8,0,0,16
190,2344-2563,สีสังเคราะห์ : สีซัลเฟอร์,Synthetic dyestuffs : Sulphur dye,บังคับ,1,1,15,11,0,0,16
191,77-2565,อิฐก่อสร้างสามัญ,Building bricks,ทั่วไป,0,0,0,0,16,16,16
192,1032-2534,น้ำยาประสานท่อพีวีซีแข็งและข้อต่อท่อพีวีซีแข็ง,Solvent-welding cements for use with unplasticized PVC pipes and fittings,ทั่วไป,0,0,0,0,15,15,15
193,2440-2552,เครื่องใช้เหล็กกล้าไร้สนิม: ภาชนะหุงต้มที่มีรอยประสาน,Stainless steel : seamed stockpots,บังคับ,14,10,1,1,0,0,15
194,2706-2559,มอร์ตาร์สำหรับก่อคอนกรีตบล็อกมวลเบา,Masonry martar for lightweight concrete block,ทั่วไป,0,0,0,0,15,10,15
195,432-2529,ประตูน้ำเหล็กหล่อแบบลิ้นยกสำหรับใช้งานทั่วไป,Cast iron gate valves for general purposes,ทั่วไป,0,0,0,0,15,11,15
196,535-2556,กระเบื้องคอนกรีตมุงหลังคา,Concrete roofing tiles,ทั่วไป,0,0,0,0,15,6,15
197,865-2544,คัตแบกแอสฟัลต์,Cut-back asphalt,ทั่วไป,0,0,0,0,15,9,15
198,902 เล่ม 2(1)-2563,ดวงโคมไฟฟ้าติดประจำที่สำหรับจุดประสงค์ทั่วไป,Fixed general purpose luminaires,ทั่วไป,0,0,0,0,15,15,15
199,80-2566,ปูนซีเมนต์ผสม,Mixed cements,ทั่วไป,0,0,0,0,15,9,15
200,118-2522,สายไฟฟ้าแรงต่ำสำหรับรถยนต์,Low voltage cables for automobiles,ทั่วไป,0,0,0,0,14,4,14
201,12-2530,กระเบื้องซีเมนต์ใยหินแผ่นเรียบ,Asbestos cement flat sheets,ทั่วไป,0,0,0,0,14,7,14
202,2137-2559,เครื่องแบบนักเรียน : ข้อกำหนดทั่วไป,School uniforms : General requirements,ทั่วไป,0,0,0,0,14,11,14
203,2573-2555,เครื่องหมายปุ่มบนพื้นทาง : หมุดสะท้อนแสง,Raised pavement markers : reflecting road studs,ทั่วไป,0,0,0,0,14,13,14
204,651-2535,ยางในรถยนต์,Tubes of automobile tyres,ทั่วไป,0,0,0,0,14,3,14
205,79-2529,กระเบื้องซีเมนต์ใยหินแผ่นลอน : ลอนคู่,Asbestos - cement asymmetrical section corrugated sheets,ทั่วไป,0,0,0,0,14,5,14
206,57-2560,คอนกรีตบล็อกกลวงรับน้ำหนัก,Hollow Loadbearing Concrete Masonry Units,ทั่วไป,0,0,0,0,14,13,14
207,368-2562,หมวกนิรภัยสำหรับงานอุตสาหกรรม,Industrial protective helmet,ทั่วไป,0,0,0,0,14,14,14
208,2683-2563,พื้นสังเคราะห์,Synthetic surfaces,ทั่วไป,0,0,0,0,14,12,14
209,1776-2566,มอร์ตาร์สำหรับฉาบ,Mortar for plastering,ทั่วไป,0,0,0,0,14,9,14
210,1020-2533,เครื่องเรือนสำหรับสำนักงาน : เก้าอี้ทำงานปรับได้,Office furniture: adjustable chairs,ทั่วไป,0,0,0,0,13,4,13
211,2157-2547,มอดิฟายด์แอสฟัลต์อิมัลชันสำหรับงานทาง,Modified asphalt emulsion for use in pavement construction,ทั่วไป,0,0,0,0,13,8,13
212,2434-2552,สายเคเบิลโทรคมนาคม ตัวนำทองแดง หุ้มฉนวนพอลิโอเลฟิน สำหรับการติดตั้งแบบแขวนในอากาศ,Polyolefin insulated copper conductor telecommunnication cables for aerial installation,บังคับ,8,7,5,2,0,0,13
213,838-2531,สายไฟฟ้าสำหรับวงจรควบคุม,Control cable,ทั่วไป,0,0,0,0,13,9,13
214,85-2548,ตัวนำลวดกลมตีเกลียวร่วมศูนย์กลางสำหรับสายไฟฟ้าเหนือดิน,Round wire concentric lay overhead electrical stranded conductors,บังคับ,11,7,2,2,0,0,13
215,1136-2559,ฟิล์มยืดหุ้มห่ออาหาร,Stretch cling film for food,บังคับ,5,4,8,8,0,0,13
216,225-2562,ไฮโปคลอไรต์,HYPOCHLORITES,ทั่วไป,0,0,0,0,13,11,13
217,397-2562,เสาเข็มคอนกรีตเสริมเหล็กแบบแรงเหวี่ยง,Reinforced concrete spun piles,ทั่วไป,0,0,0,0,13,12,13
218,3056-2563,มอร์ตาร์ฉาบผิวบาง,Skim coat mortar,ทั่วไป,0,0,0,0,13,13,13
219,827-2565,คอนกรีตบล็อกประสานปูพื้น,Interlocking concrete paving blocks,ทั่วไป,0,0,0,0,13,12,13
220,1048-2551,สีอีพ็อกซีสำหรับเคลือบท่อเหล็กกล้าส่งน้ำบริโภค,Epoxy coatings for steel potable water pipelines,ทั่วไป,0,0,0,0,12,12,12
221,2601-2556,คอนกรีตบล็อกมวลเบาแบบเติมฟองอากาศ,Cellular lightweight concrete blocks using preformed foam,ทั่วไป,0,0,0,0,12,11,12
222,2731-2559,แอสฟัลต์ซีเมนต์ปรับปรุงคุณภาพด้วยยางธรรมชาติ,Natural rubber modified asphalt cement,ทั่วไป,0,0,0,0,12,9,12
223,520-2553,ทินเนอร์สำหรับสีพ่นแห้งเร็วไนโตรเซลลูโลส,Nitrocellulose lacquer thinner,บังคับ,12,12,0,0,0,0,12
224,691-2547,สีอีพอกซีสำหรับงานทั่วไป,Epoxy paint for general purposes,ทั่วไป,0,0,0,0,12,11,12
225,71-2532,ลวดเหล็กเคลือบสังกะสี,Galvanized wire,ทั่วไป,0,0,0,0,12,9,12
226,92-2536,พัดลมไฟฟ้ากระแสสลับชนิดตั้งโต๊ะและติดผนัง,A.C. electric fans : table type and wall type,ทั่วไป,0,0,0,0,12,4,12
227,276-2562,ท่อเหล็กกล้าคาร์บอนชนิดทนความดัน,Carbon steel pressure pipes,ทั่วไป,0,0,0,0,12,9,12
228,175-2562,ไนโตรเจน,Nitrogen,ทั่วไป,0,0,0,0,12,7,12
229,2817-2562,เหล็กโครงสร้างรูปพรรณขึ้นรูปเย็นเคลือบโลหะ สำหรับงานโครงสร้างทั่วไป,Cold-formed coated structural steel sections for general structure,ทั่วไป,0,0,0,0,12,12,12
230,344-2562,ขั้วรับหลอดฟลูออเรสเซนซ์และขั้วรับสตาร์ตเตอร์,Lampholders for tubular fluorescent lamps and starterholders,บังคับ,6,6,6,6,0,0,12
231,2514-2564,สีอิมัลชันลดความร้อนจากแสงอาทิตย์,Solar heat reductive emulsions paints,ทั่วไป,0,0,0,0,12,11,12
232,2461-2565,ตู้น้ำร้อนน้ำเย็นบริโภคและตู้น้ำเย็นบริโภค เฉพาะด้านความปลอดภัย,HOT AND COOL WATER DISPENSER AND COOL WATER DISPENSER SAFETY REQUIREMENTS,บังคับ,4,4,7,6,1,1,12
233,598-2566,มอร์ตาร์สำหรับก่อ,Mortar for masonry,ทั่วไป,0,0,0,0,12,7,12
234,1101-2535,อุปกรณ์ช่วยปิดประตูสำหรับประตูบานผลักสองทาง,Door closers for double swing doors,ทั่วไป,0,0,0,0,11,5,11
235,1483-2549,ท่อไฟเบอร์กลาสส์รับความดันสำหรับงานประปา,Fibreglass pressure pipes for water services,ทั่วไป,0,0,0,0,11,5,11
236,1497-2548,ชุดหัวฉีดชะล้าง,Rinsing sprays,ทั่วไป,0,0,0,0,11,9,11
237,2664-2557,สารเคลือบเงาพอลิยูรีเทนชนิดแยกส่วนผสมสองส่วนสำหรับยานยนต์,Two-pack polyurethane clear coat for vehicles,ทั่วไป,0,0,0,0,11,11,11
238,27-2543,ถังก๊าซปิโตรเลียมเหลว,Liquefied petroleum gas containers,บังคับ,11,8,0,0,0,0,11
239,41-2554,กรดซัลฟิวริกเข้มข้นและโอเลียมสำหรับอุตสาหกรรม,Concentrated sulphuric acid and oleums for industrial use,ทั่วไป,0,0,0,0,11,11,11
240,910-2532,ท่อโพลิบิวทิลีนสำหรับใช้เป็นท่อน้ำดื่ม,Polybutylene (PB) pressure pipe and tubing for drinking water services,ทั่วไป,0,0,0,0,11,6,11
241,950-2547,แอลกอฮอล์แข็งสำหรับใช้เป็นเชื้อเพลิง,Solid alcohol fuel,บังคับ,11,11,0,0,0,0,11
242,2518-2557,ท่ออีพ็อกซีเรซินเสริมใยแก้ว สำหรับใช้ร้อยสายไฟฟ้าและสายโทรศัพท์,Glass-fibre reinforced epoxy resin conduit for electrical and communications cable,ทั่วไป,0,0,0,0,11,10,11
243,64-2517,ตัวนำไฟฟ้าทองแดงรีดแข็งสำหรับสายส่งกำลังเหนือดิน,Hard drawn copper conductor for overhead lines,ทั่วไป,0,0,0,0,11,7,11
244,2919-2561,คอนกรีตผสมเสร็จสำหรับสภาพแวดล้อมทางทะเล,Ready-mixed concrete for marine environment,ทั่วไป,0,0,0,0,11,10,11
245,348-2559,เหล็กลวดคาร์บอนต่ำ,Low carbon steel wire rods,บังคับ,9,8,2,2,0,0,11
246,902 เล่ม 2(5)-2563,ดวงโคมไฟฟ้าสาดแสง,Floodlights,ทั่วไป,0,0,0,0,11,11,11
247,2623 เล่ม 7(1)-2564,ลูกถ้วยไฟฟ้า เล่ม 7(1) ลูกถ้วยหลักรับสายไฟฟ้า : พอร์ซเลน,Electrical power insulators Part 7(1) Line post type - Porcelain insulators,ทั่วไป,0,0,0,0,11,11,11
248,1040-2541,น้ำมันเครื่องสำหรับเครื่องยนต์เบนซินสองจังหวะ,Two-stroke gasoline engine lubricating oil,บังคับ,10,9,0,0,0,0,10
249,53-2548,ไม้ขีดไฟ,Matches,บังคับ,2,2,8,5,0,0,10
250,834-2556,สีโป๊ยานยนต์ : พอลิเอสเทอร์,Vehicles putty : polyester,ทั่วไป,0,0,0,0,10,10,10
251,882-2532,เครื่องดับเพลิงยกหิ้ว : โฟม,Portable fire extinguishers: Foam,บังคับ,5,4,5,4,0,0,10
252,885-2551,บัลลาสต์อิเล็กทรอนิกส์ใช้กับไฟฟ้ากระแสสลับสำหรับหลอดฟลูออเรสเซนซ์ เฉพาะด้านความปลอดภัย,A.C. sopplied electronic ballasts for fluorescent lamps safety requirements,ทั่วไป,0,0,0,0,10,5,10
253,971-2533,เสารั้วคอนกรีตเสริมเหล็กอัดแรงหล่อสำเร็จ,Prestressed concrete fence posts,ทั่วไป,0,0,0,0,10,6,10
254,1054-2560,กระดาษถ่ายเอกสาร,Photocopy paper,ทั่วไป,0,0,0,0,10,7,10
255,61215 เล่ม 1(1)-2561,แผงเซลล์แสงอาทิตย์ภาคพื้นดิน - คุณสมบัติการออกแบบและรับรองแบบ เล่ม 1(1) ข้อกำหนดเฉพาะสำหรับการทดสอบ แผงเซลล์แสงอาทิตย์ชนิดผลึกซิลิคอน,Terrestrial photovoltaic (PV) modules - design qualification and type approval - Part 1-1 : Special requirements for testing of crystalline silicon photovoltaic (PV) modules,ทั่วไป,0,0,0,0,10,8,10
256,2623 เล่ม 3-2563,ลูกถ้วยไฟฟ้า เล่ม 3 ลูกถ้วยล้อ: พอร์ซเลน,Electrical power insulators Part 3 Spool Type-Porcelain Insulators,ทั่วไป,0,0,0,0,10,10,10
257,523-2564,รองเท้าหนังนิรภัย,Leather safety footwear,ทั่วไป,0,0,0,0,10,10,10
258,1278-2555,ก๊อกน้ำสำหรับอ่างล้างหน้า-ล้างมือ,Wash basins faucets,ทั่วไป,0,0,0,0,9,3,9
259,1568-2541,บานประตูโพลิเอสเตอร์เสริมใยแก้ว,Fibreglass reinforced polyester doors,ทั่วไป,0,0,0,0,9,8,9
260,2156-2547,มอดิฟายด์แอสฟัลต์ซีเมนต์สำหรับงานทาง,Modified asphalt cement for use in pavement construction,ทั่วไป,0,0,0,0,9,7,9
261,2202-2547,สายไฟฟ้าแรงดันสูงหุ้มด้วยฉนวนครอสลิงกด์พอลิเอทิลีน สำหรับแรงดันไฟฟ้าที่กำหนดตั้งแต่ 60 กิโลโวลต์ ถึง 115 กิโลโวลต์,Power cables with xlpe insulated for rated voltage from 60 kv up to 115 kv,บังคับ,8,5,1,1,0,0,9
262,2235-2557,หลอดฟลูออเรสเซนซ์ขั้วเดี่ยว - คุณลักษณะที่ต้องการด้านความปลอดภัย,Single-capped fluorescent lamps: Safety specifications,บังคับ,1,1,8,4,0,0,9
263,2335-2558,ยานยนต์ประเภท M1 N1 ที่ใช้เครื่องยนต์สันดาปภายใน หรือที่ขับเคลื่อนด้วยไฟฟ้า หรือไฮบริดไฟฟ้า: สารมลพิษคาร์บอนไดออกไซด์ ความสิ้นเปลืองเชื้อเพลิง - พลังงานไฟฟ้า และระยะขับเคลื่อนด้วยไฟฟ้า,"Passenger cars powered by an internal combustion engine or hybrid cars, m1 and n1 vehicles powered by electric: emission of carbon dioxide, fuel consumption, electric energy consumption and electric range",ทั่วไป,0,0,0,0,9,2,9
264,2663-2557,สีพ่นยานยนต์พอลิยูรีเทนชนิดแยกส่วนผสมสองส่วน : สีทับหน้า,Two-pack polyurethane paint clear coat for vehicles,ทั่วไป,0,0,0,0,9,9,9
265,545-2528,กระดาษคาร์บอน,Carbon paper,ทั่วไป,0,0,0,0,9,4,9
266,612-2549,แผ่นพอลิเอสเตอร์เสริมใยแก้ว,Glassfibre reinforced polyester sheets,ทั่วไป,0,0,0,0,9,4,9
267,63-2560,ตู้เหล็กเก็บเอกสารแบบลิ้นชัก,Filing office steel cabinet,ทั่วไป,0,0,0,0,9,7,9
268,1284-2560,ตู้เหล็กเก็บสัมภาระ,Steel lockers,ทั่วไป,0,0,0,0,9,9,9
269,593-2562,ประตูเหล็กม้วนสำหรับงานอาคาร,Rolling door for building,ทั่วไป,0,0,0,0,9,9,9
270,795-2564,เครื่องสุขภัณฑ์เซรามิก : โถปัสสาวะชาย,Ceramic sanitary wares : urinals,ทั่วไป,0,0,0,0,9,8,9
271,399-2565,เสาเข็มคอนกรีตเสริมเหล็กขนาดสั้น,Reinforced concrete short piles,ทั่วไป,0,0,0,0,9,9,9
272,791-2565,เครื่องสุขภัณฑ์เซรามิก : อ่างล้างหน้า-ล้างมือ,Vitreous china sanitary appliances: wash basins,ทั่วไป,0,0,0,0,9,8,9
273,60335 เล่ม 2(13)-2564,ความปลอดภัยของเครื่องใช้ไฟฟ้าสำหรับใช้ในที่อยู่อาศัยและเครื่องใช้ไฟฟ้าอื่นที่คล้ายกัน เล่ม 2(13) ข้อกำหนดเฉพาะสำหรับเครื่องทอดน้ำมันท่วม กระทะทอด และเครื่องใช้ไฟฟ้าอื่นที่คล้ายกัน,"Household and similar electrical appliances - safety - part 2-13: Particular requirements for deep fat fryers, frying pans and similar appliances",บังคับ,5,5,4,4,0,0,9
274,2595-2566,ปูนซีเมนต์สำหรับงานก่อและงานฉาบ,Masonry cement,ทั่วไป,0,0,0,0,9,7,9
275,1139-2536,ท่อทองแดงไร้ตะเข็บ,Seamless copper pipes and tubes,ทั่วไป,0,0,0,0,8,1,8
276,1484-2540,ท่อไฟเบอร์กลาสส์รับความดันสำหรับงานอุตสาหกรรมและงานระบายน้ำเสีย,Fibreglass pressure pipes for industrial and sewerage services,ทั่วไป,0,0,0,0,8,4,8
277,218-2520,อะลูมิเนียมชุบผิว,Anodized aluminium,ทั่วไป,0,0,0,0,8,6,8
278,224-2533,ท่อคอนกรีตไม่เสริมเหล็กสำหรับงานระบายน้ำ,Precast non-reinforced concrete drainage pipes,ทั่วไป,0,0,0,0,8,7,8
279,249-2540,ข้อต่อท่อเหล็กหล่ออบเหนียวต่อด้วยเกลียว,Malleable cast iron threaded pipe fittings,ทั่วไป,0,0,0,0,8,3,8
