tis_number,tis_name_th,snapshot_date,num_manufacturing_licenses,num_import_licenses,import_dependency_ratio,domestic_share_ratio
1956-2553,บริภัณฑ์เทคโนโลยีสารสนเทศ : ขีดจำกัดสัญญาณรบกวนวิทยุ,2025-11-01,0,0,0.0,0.0
1984-2543,แผ่นยิปซัมเสริมใยแก้ว,2025-11-01,0,0,0.0,0.0
199-2534,ซิป,2025-11-01,0,0,0.0,0.0
1999-2560,เหล็กกล้าทรงแบนรีดร้อน สำหรับงานโครงสร้างรถยนต์,2025-11-01,51,162,0.7605633767109701,0.2394366185941943
20-2559,เหล็กเส้นเสริมคอนกรีต : เหล็กเส้นกลม,2025-11-01,38,0,0.0,0.9999999736842113
200-2536,ลวดเสียบกระดาษ,2025-11-01,0,0,0.0,0.0
2011-2563,เหล็กกล้าทรงแบนรีดร้อน ที่ต้านการกัดกร่อนได้ดีในบรรยากาศ,2025-11-01,1,0,0.0,0.9999990000010001
2012-2558,เหล็กกล้าทรงแบนรีดเย็น สำหรับงานทั่วไปและงานดึงขึ้นรูป,2025-11-01,75,303,0.8015872994667003,0.19841269788779708
205-2530,พัดลมไฟฟ้ากระแสสลับชนิดแขวนเพดาน,2025-11-01,0,0,0.0,0.0
2060-2560,เหล็กกล้าทรงแบนรีดร้อน สำหรับงานถังก๊าซ,2025-11-01,10,10,0.4999999750000012,0.4999999750000012
2062-2558,กระติกน้ำร้อนไฟฟ้า คุณลักษณะที่ต้องการด้านความปลอดภัย,2025-11-01,14,36,0.7199999856000003,0.2799999944000001
2066-2552,ฝักบัวอาบน้ำ เฉพาะด้านสิ่งแวดล้อม : การประหยัดน้ำ,2025-11-01,42,564,0.9306930677711336,0.06930693057870144
2067-2552,ก๊อกน้ำสำหรับเครื่องสุขภัณฑ์ เฉพาะด้านสิ่งแวดล้อม : การประหยัดน้ำ,2025-11-01,76,487,0.8650088794582436,0.13499111876555753
207-2562,คลอรีนเหลว,2025-11-01,0,0,0.0,0.0
208-2566,ตาข่ายลวดเหล็กเคลือบสังกะสี,2025-11-01,0,0,0.0,0.0
2083-2544,ผลิตภัณฑ์ทำความสะอาดสำหรับกระเบื้องและเครื่องสุขภัณฑ์เซรามิก ประเภทสารลดแรงตึงผิว,2025-11-01,0,0,0.0,0.0
2084-2552,กระบอกฉีดอินซูลินปราศจากเชื้อชนิดใช้ครั้งเดียว,2025-11-01,0,0,0.0,0.0
2085-2556,เกลือบริโภคเสริมไอโอดีน,2025-11-01,0,0,0.0,0.0
2086-2556,เกลือบริโภคบริสุทธิ์เสริมไอโอดีน,2025-11-01,0,0,0.0,0.0
2090-2564,เบียร์,2025-11-01,0,0,0.0,0.0
21-2515,เครื่องเงิน,2025-11-01,0,0,0.0,0.0
2107-2544,หัวดับเพลิงไม่มีประตูน้ำ,2025-11-01,0,0,0.0,0.0
2109 เล่ม 2-2559,ฟิวส์แรงดันไฟฟ้าต่ำ เล่ม 2 คุณลักษณะที่ต้องการเพิ่มเติมสำหรับฟิวส์ที่ใช้โดยบุคคลที่ได้รับอนุญาต (ฟิวส์สำหรับใช้ในงานอุตสาหกรรมเป็นหลัก) - ตัวอย่างของระบบฟิวส์มาตรฐาน A ถึง K,2025-11-01,0,0,0.0,0.0
2115-2545,ไม้พื้นอัดซ้อนเคลือบผิวสำเร็จ,2025-11-01,0,0,0.0,0.0
2117-2545,ผลิตภัณฑ์ทำความสะอาดเครื่องครัว,2025-11-01,0,0,0.0,0.0
2118-2545,ที่รองนั่งและฝาพลาสติกสำหรับโถส้วม,2025-11-01,0,0,0.0,0.0
213-2560,คอนกรีตผสมเสร็จ,2025-11-01,0,0,0.0,0.0
2132-2564,เหล็กแผ่นเคลือบสังกะสีโดยกรรมวิธีจุ่มร้อน และเคลือบสี : แผ่นลอน,2025-11-01,0,0,0.0,0.0
2133-2545,ท่อเหล็กกล้าอ่อนเคลือบสังกะสีสำหรับร้อยสายไฟฟ้า,2025-11-01,0,0,0.0,0.0
2134-2553,เครื่องปรับอากาศสำหรับห้อง : ประสิทธิภาพพลังงาน,2025-11-01,729,187,0.20414847139285103,0.795851527515446
2135-2545,เถ้าลอยจากถ่านหินใช้เป็นวัสดุผสมคอนกรีต,2025-11-01,0,0,0.0,0.0
2136-2545,แอนทราไซต์สำหรับกรองน้ำ,2025-11-01,0,0,0.0,0.0
2137-2559,เครื่องแบบนักเรียน : ข้อกำหนดทั่วไป,2025-11-01,0,0,0.0,0.0
2138-2559,เครื่องแบบนักเรียน : ผ้าเครื่องแบบนักเรียน,2025-11-01,0,0,0.0,0.0
214-2560,กระดาษชำระ,2025-11-01,0,0,0.0,0.0
2140-2560,เหล็กกล้าทรงแบนรีดเย็น สำหรับงานรถยนต์,2025-11-01,36,91,0.7165354274288549,0.28346456469712944
2141-2546,อ่างอาบน้ำอะคริลิกเสริมใยแก้ว,2025-11-01,0,0,0.0,0.0
2143 เล่ม 1-2567,สายไฟฟ้าแรงดันสูงหุ้มฉนวนและอุปกรณ์ส่วนควบใช้กับแรงดันไฟฟ้าที่กำหนดตั้งแต่ 1 kV ถึงไม่เกิน 30 kV เล่ม 1 สายไฟฟ้าใช้กับแรงดันไฟฟ้าที่กำหนด 1 kV และ 3 kV,2025-11-01,0,0,0.0,0.0
