tis_number,tis_name_th,snapshot_date,num_manufacturing_licenses,num_import_licenses,num_display_licenses,total_licenses,num_manufacturing_licenses_diff,num_manufacturing_licenses_pct_change,num_import_licenses_diff,num_import_licenses_pct_change,num_display_licenses_diff,num_display_licenses_pct_change,total_licenses_diff,total_licenses_pct_change
2118-2545,ที่รองนั่งและฝาพลาสติกสำหรับโถส้วม,2025-11-01,0,0,1,1,,,,,,,,
213-2560,คอนกรีตผสมเสร็จ,2025-11-01,0,0,1432,1432,,,,,,,,
2132-2564,เหล็กแผ่นเคลือบสังกะสีโดยกรรมวิธีจุ่มร้อน และเคลือบสี : แผ่นลอน,2025-11-01,0,0,3,3,,,,,,,,
2133-2545,ท่อเหล็กกล้าอ่อนเคลือบสังกะสีสำหรับร้อยสายไฟฟ้า,2025-11-01,0,0,1,1,,,,,,,,
2134-2553,เครื่องปรับอากาศสำหรับห้อง : ประสิทธิภาพพลังงาน,2025-11-01,729,187,0,916,,,,,,,,
2135-2545,เถ้าลอยจากถ่านหินใช้เป็นวัสดุผสมคอนกรีต,2025-11-01,0,0,1,1,,,,,,,,
2136-2545,แอนทราไซต์สำหรับกรองน้ำ,2025-11-01,0,0,2,2,,,,,,,,
2137-2559,เครื่องแบบนักเรียน : ข้อกำหนดทั่วไป,2025-11-01,0,0,14,14,,,,,,,,
2138-2559,เครื่องแบบนักเรียน : ผ้าเครื่องแบบนักเรียน,2025-11-01,0,0,1,1,,,,,,,,
214-2560,กระดาษชำระ,2025-11-01,0,0,2,2,,,,,,,,
2140-2560,เหล็กกล้าทรงแบนรีดเย็น สำหรับงานรถยนต์,2025-11-01,36,91,0,127,,,,,,,,
2141-2546,อ่างอาบน้ำอะคริลิกเสริมใยแก้ว,2025-11-01,0,0,2,2,,,,,,,,
2143 เล่ม 1-2567,สายไฟฟ้าแรงดันสูงหุ้มฉนวนและอุปกรณ์ส่วนควบใช้กับแรงดันไฟฟ้าที่กำหนดตั้งแต่ 1 kV ถึงไม่เกิน 30 kV เล่ม 1 สายไฟฟ้าใช้กับแรงดันไฟฟ้าที่กำหนด 1 kV และ 3 kV,2025-11-01,0,0,2,2,,,,,,,,
2147-2546,ก๊อกน้ำอัตโนมัติสำหรับเครื่องสุขภัณฑ์,2025-11-01,0,0,2,2,,,,,,,,
2148-2546,ก๊อกน้ำอัตโนมัติสำหรับเครื่องสุขภัณฑ์ เฉพาะด้านสิ่งแวดล้อม : การประหยัดน้ำ,2025-11-01,0,0,1,1,,,,,,,,
2149-2546,ก๊อกน้ำติดผนังสำหรับห้องน้ำ,2025-11-01,0,0,7,7,,,,,,,,
2150-2564,พอลิอะลูมิเนียมคลอไรด์ชนิดเหลว,2025-11-01,0,0,8,8,,,,,,,,
2151-2555,พอลิยูรีเทนเคลือบผิวชนิดแยกส่วนผสมสองส่วนใช้งานทั่วไป,2025-11-01,0,0,3,3,,,,,,,,
2156-2547,มอดิฟายด์แอสฟัลต์ซีเมนต์สำหรับงานทาง,2025-11-01,0,0,9,9,,,,,,,,
2157-2547,มอดิฟายด์แอสฟัลต์อิมัลชันสำหรับงานทาง,2025-11-01,0,0,13,13,,,,,,,,
216-2524,ท่อพีวีซีแข็งสำหรับใช้ร้อยสายไฟฟ้าและสายโทรศัพท์,2025-11-01,0,0,81,81,,,,,,,,
2165-2561,เคเบิลเส้นใยนำแสง เล่ม 3(10) : เคเบิลภายนอกอาคาร - ข้อกำหนดคุณลักษณะเป็นรายกลุ่ม สำหรับเคเบิลเส้นใยนำแสงโทรคมนาคมชนิดติดตั้งในท่อร้อยสาย ฝังดินโดยตรง และแขวนในอากาศโดยใช้ลวดพัน,2025-11-01,5,23,0,28,,,,,,,,
2166-2548,เคเบิลเส้นใยนำแสง เล่ม 3-20 : เคเบิลภายนอกอาคาร -ข้อกำหนดคุณลักษณะเป็นรายกลุ่มสำหรับเคเบิลเส้นใยนำแสงโทรคมนาคม แขวนในอากาศรับน้ำหนักตัวเองได้,2025-11-01,39,237,0,276,,,,,,,,
217-2556,กรดไฮโดรคลอริกสำหรับอุตสาหกรรม,2025-11-01,0,0,7,7,,,,,,,,
218-2520,อะลูมิเนียมชุบผิว,2025-11-01,0,0,8,8,,,,,,,,
2186-2561,ตู้เย็นและตู้เย็นแบบมีช่องแช่เยือกแข็งสำหรับใช้ในที่อยู่อาศัย ข้อกำหนดด้านสิ่งแวดล้อม : ประสิทธิภาพพลังงาน,2025-11-01,14,89,0,103,,,,,,,,
219-2566,แผ่นยิปซัม,2025-11-01,0,0,8,8,,,,,,,,
2202-2547,สายไฟฟ้าแรงดันสูงหุ้มด้วยฉนวนครอสลิงกด์พอลิเอทิลีน สำหรับแรงดันไฟฟ้าที่กำหนดตั้งแต่ 60 กิโลโวลต์ ถึง 115 กิโลโวลต์,2025-11-01,8,1,0,9,,,,,,,,
2203-2558,กระจกลวดลาย,2025-11-01,0,0,1,1,,,,,,,,
221-2558,ซิงก์ออกไซด์สำหรับอุตสาหกรรมทั่วไป,2025-11-01,0,0,1,1,,,,,,,,
2214-2561,ตู้เย็นและตู้เย็นแบบมีช่องแช่เยือกแข็ง สำหรับใช้ในที่อยู่อาศัย ข้อกำหนดด้านความปลอดภัย,2025-11-01,14,106,0,120,,,,,,,,
2217-2548,เซลล์และแบตเตอรี่ทุติยภูมิที่มีอิเล็กโทรไลต์แอลคาไลน์หรืออิเล็กโทรไลต์อื่นที่ไม่ใช่กรด สำหรับการใช้งานแบบพกพา เฉพาะด้านความปลอดภัย,2025-11-01,10,1706,0,1716,,,,,,,,
2223-2565,เหล็กกล้าทรงแบนเคลือบสังกะสี โดยกรรมวิธีทางไฟฟ้า,2025-11-01,47,70,0,117,,,,,,,,
2224-2548,ผลิตภัณฑ์ขจัดคราบน้ำมัน,2025-11-01,0,0,5,5,,,,,,,,
2226-2548,แผ่นผนังคอนกรีตสำเร็จรูป,2025-11-01,0,0,3,3,,,,,,,,
2228-2565,เหล็กกล้าทรงแบนเคลือบอะลูมิเนียม 55% ผสมสังกะสีโดยกรรมวิธีจุ่มร้อน,2025-11-01,28,101,2,131,,,,,,,,
2234-2557,หลอดมีบัลลาสต์ในตัวสำหรับการให้แสงสว่างทั่วไป - คุณลักษณะที่ต้องการด้านความปลอดภัย,2025-11-01,1,16,0,17,,,,,,,,
2235-2557,หลอดฟลูออเรสเซนซ์ขั้วเดี่ยว - คุณลักษณะที่ต้องการด้านความปลอดภัย,2025-11-01,1,8,0,9,,,,,,,,
224-2533,ท่อคอนกรีตไม่เสริมเหล็กสำหรับงานระบายน้ำ,2025-11-01,0,0,8,8,,,,,,,,
2241-2548,สีเคลือบเงาอะคริลิกเรซิน,2025-11-01,0,0,3,3,,,,,,,,
2243-2564,เหล็กลวดคาร์บอนสำหรับงานย้ำหัวและงานทุบขึ้นรูปเย็น,2025-11-01,0,0,1,1,,,,,,,,
225-2562,ไฮโปคลอไรต์,2025-11-01,0,0,13,13,,,,,,,,
2253-2548,ข้อต่อเหล็กหล่อแกรไฟต์กลมสำหรับท่อส่งน้ำชนิดทนความดัน,2025-11-01,0,0,18,18,,,,,,,,
2254-2561,สีเท็กซ์เจอร์,2025-11-01,0,0,1,1,,,,,,,,
2261-2549,เสื้อชั้นในชาย,2025-11-01,0,0,5,5,,,,,,,,
2274-2549,ผลิตภัณฑ์ฟอกผ้าประเภทเพอร์ออกไซด์,2025-11-01,0,0,1,1,,,,,,,,
229-2540,อะเซทิลีน,2025-11-01,0,0,1,1,,,,,,,,
23-2558,บัลลาสต์สำหรับหลอดฟลูออเรสเซนซ์ - คุณลักษณะที่ต้องการด้านความปลอดภัย,2025-11-01,3,2,0,5,,,,,,,,
2303-2564,แผ่นฉนวนความร้อนใยแร่,2025-11-01,0,0,1,1,,,,,,,,
2311-2549,ถังบรรจุก๊าซ-ถังทนความดันสูงสำหรับบรรจุก๊าซธรรมชาติที่ใช้เป็นเชื้อเพลิงสำหรับพาหนะรถยนต์,2025-11-01,0,0,5,5,,,,,,,,
2312-2549,เตาหุงต้มในครัวเรือนใช้กับก๊าซปิโตรเลียมเหลว,2025-11-01,0,0,4,4,,,,,,,,
2316-2549,เสาเหล็กกล้าเคลือบสังกะสีสำหรับไฟฟ้าแสงสว่าง,2025-11-01,0,0,63,63,,,,,,,,
2321-2564,สีอิมัลชันทนสภาวะอากาศ,2025-11-01,0,0,36,36,,,,,,,,
2329-2562,ลูกฟุตซอล,2025-11-01,0,0,4,4,,,,,,,,
2335-2558,ยานยนต์ประเภท M1 N1 ที่ใช้เครื่องยนต์สันดาปภายใน หรือที่ขับเคลื่อนด้วยไฟฟ้า หรือไฮบริดไฟฟ้า: สารมลพิษคาร์บอนไดออกไซด์ ความสิ้นเปลืองเชื้อเพลิง - พลังงานไฟฟ้า และระยะขับเคลื่อนด้วยไฟฟ้า,2025-11-01,0,0,9,9,,,,,,,,
2336-2552,มาตรพลังงานไฟฟ้ากระแสสลับ : ข้อกำหนดเฉพาะ มาตรกลไฟฟ้าสำหรับพลังงานไฟฟ้าใช้งาน (ชั้น 0.5 ชั้น 1 และ ชั้น 2),2025-11-01,0,0,27,27,,,,,,,,
2337-2557,บัลลาสต์สำหรับหลอดฟลูออเรสเซนซ์ : คุณลักษณะที่ต้องการด้านประสิทธิภาพพลังงาน,2025-11-01,3,4,0,7,,,,,,,,
2341-2564,สายไฟฟ้าอากาศตัวนำอะลูมิเนียมหุ้มฉนวนและเปลือกครอสลิงกด์พอลิเอทิลีน สำหรับแรงดันไฟฟ้าที่กำหนด 25 kV และ 35 kV,2025-11-01,0,0,7,7,,,,,,,,
2344-2563,สีสังเคราะห์ : สีซัลเฟอร์,2025-11-01,1,15,0,16,,,,,,,,
2345-2550,ธูป,2025-11-01,0,0,1,1,,,,,,,,
2346-2566,เสื้อผ้าสำเร็จรูป : ความปลอดภัยจากสีและสารเคมีที่เป็นอันตราย,2025-11-01,0,0,1,1,,,,,,,,
2356-2550,แผ่นพีวีซีโฟมแข็ง,2025-11-01,0,0,3,3,,,,,,,,
2357-2550,ท่ออะคริโลไนไทรล์-บิวทาไดอีน-สไตรีน (เอบีเอส) ทนความดัน,2025-11-01,0,0,1,1,,,,,,,,
236-2548,หลอดฟลูออเรสเซนซ์ขั้วคู่,2025-11-01,0,0,5,5,,,,,,,,
2369-2551,กรดไนทริกสำหรับอุตสาหกรรม,2025-11-01,0,0,1,1,,,,,,,,
237-2564,แหวนยางสำหรับท่อน้ำ,2025-11-01,0,0,3,3,,,,,,,,
2377-2559,แผ่นยางปูพื้น,2025-11-01,0,0,7,7,,,,,,,,
2378-2559,บล็อกยางปูพื้น,2025-11-01,0,0,2,2,,,,,,,,
238-2520,ถังน้ำเหล็กอาบสังกะสี,2025-11-01,0,0,1,1,,,,,,,,
2385-2551,สายต่อใช้ในการแพทย์,2025-11-01,0,0,1,1,,,,,,,,
2386-2555,สีรองพื้นกันสนิมซิงก์ฟอสเฟต,2025-11-01,0,0,4,4,,,,,,,,
2387-2555,สีรองพื้นกันสนิม,2025-11-01,0,0,17,17,,,,,,,,
239-2561,กระดาษเช็ดมือ,2025-11-01,0,0,1,1,,,,,,,,
2391-2551,สารละลายเฟร์ริกคลอไรด์,2025-11-01,0,0,3,3,,,,,,,,
2392-2551,เครื่องกรองน้ำดื่ม,2025-11-01,0,0,2,2,,,,,,,,
24-2559,เหล็กเส้นเสริมคอนกรีต : เหล็กข้ออ้อย,2025-11-01,46,3,0,49,,,,,,,,
240-2561,กระดาษเช็ดปาก,2025-11-01,0,0,1,1,,,,,,,,
2424-2565,หน้ากากอนามัยใช้ครั้งเดียว,2025-11-01,0,0,34,34,,,,,,,,
2425-2560,เครื่องตัดวงจรใช้กระแสเหลือแบบไม่มีอุปกรณ์ป้องกันกระแสเกิน สำหรับใช้ในที่อยู่อาศัยและใช้ในลักษณะที่คล้ายกัน เล่ม 1 หลักเกณฑ์ทั่วไป,2025-11-01,2,46,0,48,,,,,,,,
2426-2552,เตาเผาไฟฟ้า : แบบความต้านทาน,2025-11-01,0,0,1,1,,,,,,,,
2432-2555,เต้าเสียบและเต้ารับสำหรับใช้ในที่อยู่อาศัยและงานทั่วไปที่มีจุดประสงค์คล้ายกัน : ชุดสายพ่วง,2025-11-01,72,122,0,194,,,,,,,,
2434-2552,สายเคเบิลโทรคมนาคม ตัวนำทองแดง หุ้มฉนวนพอลิโอเลฟิน สำหรับการติดตั้งแบบแขวนในอากาศ,2025-11-01,8,5,0,13,,,,,,,,
2438-2552,ที่นอนโฟมพอลิสไตรีน,2025-11-01,0,0,3,3,,,,,,,,
2440-2552,เครื่องใช้เหล็กกล้าไร้สนิม: ภาชนะหุงต้มที่มีรอยประสาน,2025-11-01,14,1,0,15,,,,,,,,
2441-2562,ถังก๊าซปิโตรเลียมเหลว : ถังคอมโพสิต,2025-11-01,0,0,1,1,,,,,,,,
2461-2565,ตู้น้ำร้อนน้ำเย็นบริโภคและตู้น้ำเย็นบริโภค เฉพาะด้านความปลอดภัย,2025-11-01,4,7,1,12,,,,,,,,
247-2552,ด้ายเย็บพอลิเอสเทอร์,2025-11-01,0,0,1,1,,,,,,,,
2477-2552,ถุงฝายยาง,2025-11-01,0,0,2,2,,,,,,,,
2479-2552,ยางกันเรือกระแทกรูปท่อทรงกระบอกและรูปตัววี,2025-11-01,0,0,2,2,,,,,,,,
248-2567,ราวเหล็กลูกฟูกกันรถสำหรับทางสัญจร,2025-11-01,0,0,56,56,,,,,,,,
2480-2562,หน้ากากใช้ครั้งเดียวชนิด N95 ลดความเสี่ยงการติดเชื้อทางการแพทย์,2025-11-01,0,0,3,3,,,,,,,,
2481-2552,เครื่องขูดหินน้ำลายไฟฟ้า,2025-11-01,0,0,3,3,,,,,,,,
249-2540,ข้อต่อท่อเหล็กหล่ออบเหนียวต่อด้วยเกลียว,2025-11-01,0,0,8,8,,,,,,,,
2493 เล่ม 1-2554,ภาชนะพลาสติกบรรจุอาหารสำหรับเตาไมโครเวฟ เล่ม 1 สำหรับการอุ่น,2025-11-01,66,40,0,106,,,,,,,,
2493 เล่ม 2-2556,ภาชนะพลาสติกบรรจุอาหารสำหรับเตาไมโครเวฟ เล่ม 2 สำหรับการอุ่นครั้งเดียว,2025-11-01,117,60,0,177,,,,,,,,
2502-2553,พรมทอ,2025-11-01,0,0,1,1,,,,,,,,
2505-2553,ถุงมือยางที่ใช้ในอุตสาหกรรมอาหาร,2025-11-01,0,0,1,1,,,,,,,,
2507-2553,ยางกันเรือกระแทกรูปตัวดีและรูปจัตุรัส,2025-11-01,0,0,3,3,,,,,,,,
2508-2555,กระเบื้องเซรามิก,2025-11-01,21,1590,0,1611,,,,,,,,
251-2554,ผ้าโปร่งดูดซึม ผ้าพันแผล และผ้าซับ,2025-11-01,0,0,4,4,,,,,,,,
2514-2564,สีอิมัลชันลดความร้อนจากแสงอาทิตย์,2025-11-01,0,0,12,12,,,,,,,,
2515-2555,สีเคลือบเงาชนิดน้ำ,2025-11-01,0,0,1,1,,,,,,,,
2517-2561,หลอดให้สารละลายทางหลอดเลือดแบบมีเข็มนำใช้ครั้งเดียว,2025-11-01,0,0,1,1,,,,,,,,
2518-2557,ท่ออีพ็อกซีเรซินเสริมใยแก้ว สำหรับใช้ร้อยสายไฟฟ้าและสายโทรศัพท์,2025-11-01,0,0,11,11,,,,,,,,
2529-2555,สีจราจรชนิดน้ำ,2025-11-01,0,0,8,8,,,,,,,,
253-2521,แหและอวน : ไนลอนและโพลิเอทิลีน,2025-11-01,0,0,2,2,,,,,,,,
2532-2563,สีสังเคราะห์ : สีแอซิด,2025-11-01,10,61,0,71,,,,,,,,
2543-2555,มาตรพลังงานไฟฟ้ากระแสสลับ : ข้อกำหนดเฉพาะ มาตรอิเล็กทรอนิกส์สำหรับพลังงานใช้งาน (ชั้น 1 และชั้น 2),2025-11-01,0,0,44,44,,,,,,,,
2544-2555,มาตรพลังงานไฟฟ้ากระแสสลับ : ข้อกำหนดเฉพาะ มาตรอิเล็กทรอนิกส์สำหรับพลังงานใช้งาน (ชั้น 0.2S และชั้น 0.5S),2025-11-01,0,0,21,21,,,,,,,,
2555-2554,รถยนต์ขนาดเล็กที่ใช้เครื่องยนต์แบบจุดระเบิดด้วยประกายไฟที่ใช้ก๊าซธรรมชาติหรือก๊าซปิโตรเลียมเหลวเป็นเชื้อเพลิง เฉพาะด้านความปลอดภัย : สารมลพิษจากเครื่องยนต์ ระดับที่ 1,2025-11-01,1,0,0,1,,,,,,,,
2559-2554,พอลิเอทิลีนคอมพาวนด์สำหรับผลิตท่อน้ำดื่ม,2025-11-01,0,0,4,4,,,,,,,,
256-2540,ประตูน้ำเหล็กหล่อ : ลิ้นยกแบบรองลิ้นโลหะสำหรับงานประปา,2025-11-01,0,0,39,39,,,,,,,,
257-2549,น้ำบริโภค,2025-11-01,0,0,7,7,,,,,,,,
2573-2555,เครื่องหมายปุ่มบนพื้นทาง : หมุดสะท้อนแสง,2025-11-01,0,0,14,14,,,,,,,,
258-2521,แหวนรองแบบเรียบ,2025-11-01,0,0,8,8,,,,,,,,
2594-2567,ปูนซีเมนต์ไฮดรอลิก,2025-11-01,17,2,0,19,,,,,,,,
2595-2566,ปูนซีเมนต์สำหรับงานก่อและงานฉาบ,2025-11-01,0,0,9,9,,,,,,,,
2599-2556,ถุงเท้าใช้งานหนัก,2025-11-01,0,0,4,4,,,,,,,,
2600-2556,กระเบื้องหินขัดชั้นเดียว,2025-11-01,0,0,1,1,,,,,,,,
2601-2556,คอนกรีตบล็อกมวลเบาแบบเติมฟองอากาศ,2025-11-01,0,0,12,12,,,,,,,,
2602-2556,กระจกนิรภัยสำหรับยานยนต์,2025-11-01,26,345,0,371,,,,,,,,
2610-2556,ยูนิตทำฟัน,2025-11-01,0,0,8,8,,,,,,,,
2611-2556,วัสดุโคลด์พลาสติกสำหรับทำเครื่องหมายบนผิวทาง,2025-11-01,0,0,17,17,,,,,,,,
2619-2556,กระเบื้องคอนกรีตเสริมประกอบสำหรับมุงหลังคา,2025-11-01,0,0,8,8,,,,,,,,
2622-2556,ภาชนะและเครื่องใช้โลหะเคลือบฟลูออโรพอลิเมอร์สำหรับอาหาร,2025-11-01,2,89,0,91,,,,,,,,
2623 เล่ม 2(1)-2560,ลูกถ้วยแขวนในระบบจำหน่ายไฟฟ้า : พอร์ซเลน,2025-11-01,0,0,7,7,,,,,,,,
2623 เล่ม 2(2)-2560,ลูกถ้วยแขวนในระบบส่งไฟฟ้า : พอร์ซเลน,2025-11-01,0,0,3,3,,,,,,,,
2623 เล่ม 3-2563,ลูกถ้วยไฟฟ้า เล่ม 3 ลูกถ้วยล้อ: พอร์ซเลน,2025-11-01,0,0,10,10,,,,,,,,
2623 เล่ม 4-2563,ลูกถ้วยไฟฟ้า เล่ม 4 : ลูกถ้วยยึดโยง: พอร์ซเลน,2025-11-01,0,0,5,5,,,,,,,,
2623 เล่ม 7(1)-2564,ลูกถ้วยไฟฟ้า เล่ม 7(1) ลูกถ้วยหลักรับสายไฟฟ้า : พอร์ซเลน,2025-11-01,0,0,11,11,,,,,,,,
2623 เล่ม 7(2)-2564,ลูกถ้วยไฟฟ้า เล่ม 7(2) ลูกถ้วยหลักก้านตรงรับสายไฟฟ้า : พอร์ซเลน,2025-11-01,0,0,8,8,,,,,,,,
2623 เล่ม 9-2564,ลูกถ้วยไฟฟ้า เล่ม 9 ลูกถ้วยหลักรับอุปกรณ์: พอร์ซเลน,2025-11-01,0,0,7,7,,,,,,,,
2625-2557,สีเคลือบแอลคีด : เฉพาะด้านความปลอดภัย,2025-11-01,64,1,0,65,,,,,,,,
2662-2557,สีพ่นยานยนต์พอลิยูรีเทนชนิดแยกส่วนผสมสองส่วน : สีพื้นรองทับหน้า,2025-11-01,0,0,8,8,,,,,,,,
2663-2557,สีพ่นยานยนต์พอลิยูรีเทนชนิดแยกส่วนผสมสองส่วน : สีทับหน้า,2025-11-01,0,0,9,9,,,,,,,,
2664-2557,สารเคลือบเงาพอลิยูรีเทนชนิดแยกส่วนผสมสองส่วนสำหรับยานยนต์,2025-11-01,0,0,11,11,,,,,,,,
2667-2558,แผ่นยางรองรางรถไฟ,2025-11-01,0,0,1,1,,,,,,,,
2668-2558,ยางล้อตันสำหรับรถฟอร์กลิฟต์,2025-11-01,0,0,3,3,,,,,,,,
2676-2558,ท่อเหล็กกล้าไร้สนิมออสเทไนต์สำหรับใช้งานทั่วไป,2025-11-01,0,0,2,2,,,,,,,,
2682-2563,เม็ดยางใช้ทำพื้นสังเคราะห์,2025-11-01,0,0,6,6,,,,,,,,
2683-2563,พื้นสังเคราะห์,2025-11-01,0,0,14,14,,,,,,,,
2685-2558,แผ่นอะคริลิกใช้งานทั่วไป : แผ่นหล่อต่อเนื่อง,2025-11-01,0,0,1,1,,,,,,,,
2689-2558,ท่อเหล็กกล้าไร้สนิมออสเทไนต์สำหรับโครงสร้างงานตกแต่ง,2025-11-01,0,0,5,5,,,,,,,,
27-2543,ถังก๊าซปิโตรเลียมเหลว,2025-11-01,11,0,0,11,,,,,,,,
2701-2559,ซีเมนต์ไฮดรอลิกเกร้าต์,2025-11-01,0,0,4,4,,,,,,,,
2703-2566,กาวซีเมนต์,2025-11-01,0,0,19,19,,,,,,,,
2706-2559,มอร์ตาร์สำหรับก่อคอนกรีตบล็อกมวลเบา,2025-11-01,0,0,15,15,,,,,,,,
2707-2560,ถังก๊าซ - ถังอะลูมิเนียมเจือมีรอยเชื่อมประเภทบรรจุก๊าซซ้ำ - การออกแบบ การสร้าง และการทดสอบ,2025-11-01,0,0,1,1,,,,,,,,
271-2563,บะหมี่กึ่งสำเร็จรูป,2025-11-01,0,0,2,2,,,,,,,,
2718-2560,ยางล้อแบบสูบลมสำหรับรถยนต์และส่วนพ่วง,2025-11-01,20,590,0,610,,,,,,,,
2719-2560,ยางล้อแบบสูบลม สำหรับรถยนต์เชิงพาณิชย์และส่วนพ่วง,2025-11-01,24,420,0,444,,,,,,,,
272-2564,สีอิมัลชันใช้งานทั่วไป,2025-11-01,0,0,30,30,,,,,,,,
2720-2560,ยางล้อแบบสูบลมสำหรับรถจักรยานยนต์และโมเปด,2025-11-01,21,150,0,171,,,,,,,,
2721-2560,ยางล้อสูบลม : ข้อกำหนดด้านเสียงจากยางล้อที่สัมผัสผิวถนน การยึดเกาะถนนบนพื้นเปียก และความต้านทานการหมุน,2025-11-01,26,736,0,762,,,,,,,,
2731-2559,แอสฟัลต์ซีเมนต์ปรับปรุงคุณภาพด้วยยางธรรมชาติ,2025-11-01,0,0,12,12,,,,,,,,
2733-2559,น้ำยางคอมพาวด์เคลือบผ้าปูสระกักเก็บน้ำ,2025-11-01,0,0,2,2,,,,,,,,
2735-2559,มอร์ตาร์สำหรับฉาบคอนกรีตมวลเบา,2025-11-01,0,0,17,17,,,,,,,,
2737-2559,กระจกอบแข็งด้วยความร้อน,2025-11-01,0,0,4,4,,,,,,,,
274-2565,แป้งมันสำปะหลัง,2025-11-01,0,0,1,1,,,,,,,,
2753-2567,เหล็กกล้าทรงแบนเคลือบอะลูมิเนียม 55% ผสมสังกะสี โดยกรรมวิธีจุ่มร้อนและเคลือบสี,2025-11-01,0,0,4,4,,,,,,,,
276-2562,ท่อเหล็กกล้าคาร์บอนชนิดทนความดัน,2025-11-01,0,0,12,12,,,,,,,,
2762-2559,ลูกถ้วยแยกสายไฟฟ้าพอร์ซเลนชนิดเคลือบเซรามิกพร้อมพอลิเมอร์ยึดสายไฟฟ้า,2025-11-01,0,0,2,2,,,,,,,,
2764-2559,ท่อลอนพอลิเอทิลีนเสริมเหล็ก,2025-11-01,0,0,2,2,,,,,,,,
2773-2560,รถตัดอ้อย,2025-11-01,0,0,2,2,,,,,,,,
2774-2560,กำมะถันสำหรับอุตสาหกรรมยาง,2025-11-01,0,0,2,2,,,,,,,,
2779-2562,หลอดแอลอีดีขั้วคู่ที่ออกแบบเพื่อเปลี่ยนทดแทนหลอดฟลูออเรสเซนซ์ชนิดตรง-คุณลักษณะที่ต้องการด้านความปลอดภัย,2025-11-01,14,135,0,149,,,,,,,,
2780-2562,หลอดแอลอีดีมีบัลลาสต์ในตัวสำหรับการให้แสงสว่างทั่วไป ด้วยแรงดันไฟฟ้ามากกว่า 50 V - คุณลักษณะที่ต้องการด้านความปลอดภัย,2025-11-01,11,181,0,192,,,,,,,,
279-2525,ลูกถ้วยก้านตรง : ปอร์ซเลน,2025-11-01,0,0,2,2,,,,,,,,
2817-2562,เหล็กโครงสร้างรูปพรรณขึ้นรูปเย็นเคลือบโลหะ สำหรับงานโครงสร้างทั่วไป,2025-11-01,0,0,12,12,,,,,,,,
2821-2560,พอลิอะลูมิเนียมคลอไรด์ชนิดผง,2025-11-01,0,0,1,1,,,,,,,,
284-2560,อะลูมิเนียมเจืออัดรีดขึ้นรูป,2025-11-01,0,0,24,24,,,,,,,,
287-2565,กระดาษพิมพ์และเขียน,2025-11-01,0,0,3,3,,,,,,,,
2879-2560,แบตเตอรี่สำรองไฟฟ้าสำหรับการใช้งานแบบพกพา - คุณลักษณะที่ต้องการด้านความปลอดภัย,2025-11-01,12,171,0,183,,,,,,,,
2892-2563,ซีเมนต์ยาแนวสำหรับกระเบื้องเซรามิก,2025-11-01,0,0,1,1,,,,,,,,
2895-2564,คอนกรีตบล็อกเชิงตันไม่รับน้ำหนัก,2025-11-01,0,0,5,5,,,,,,,,
2900-2561,แท่นพลาสติกกั้นจราจร,2025-11-01,0,0,2,2,,,,,,,,
291 เล่ม 1-2530,สลักเกลียวหัวหกเหลี่ยม เล่ม 1 ผลิตภัณฑ์ขั้น A และ B,2025-11-01,0,0,1,1,,,,,,,,
2915-2561,รถจักรยานยนต์เฉพาะด้านความปลอดภัย - สารมลพิษจากเครื่องยนต์ ระดับที่ 7,2025-11-01,30,39,0,69,,,,,,,,
2916-2561,ยางมะตอยผสมสำเร็จ,2025-11-01,0,0,4,4,,,,,,,,
2917-2561,ท่อพอลิเอทิลีนผนังโครงสร้างแบบเรียบสำหรับงานท่อใต้ดิน,2025-11-01,0,0,2,2,,,,,,,,
2919-2561,คอนกรีตผสมเสร็จสำหรับสภาพแวดล้อมทางทะเล,2025-11-01,0,0,11,11,,,,,,,,
2921-2562,ภาชนะและเครื่องใช้เมลามีน-ฟอร์แมลดีไฮด์ ยูเรีย-ฟอร์แมลดีไฮด์ และเมลามีน-ยูเรีย-ฟอร์แมลดีไฮด์ สำหรับอาหาร: เฉพาะด้านความปลอดภัย,2025-11-01,12,32,0,44,,,,,,,,
293-2541,สายไฟฟ้าอะลูมิเนียมหุ้มด้วยฉนวนโพลิไวนิลคลอไรด์,2025-11-01,41,8,0,49,,,,,,,,
2948-2562,กระดาษสัมผัสอาหาร,2025-11-01,0,0,7,7,,,,,,,,
2952-2561,ยานยนต์ประเภท L : คุณลักษณะเฉพาะสำหรับระบบส่งกำลังด้วยไฟฟ้า,2025-11-01,0,0,2,2,,,,,,,,
2959-2562,เทอร์โมฟอร์มิงรับเบอร์,2025-11-01,0,0,1,1,,,,,,,,
2973-2562,พอลิเมอร์เสริมเส้นใย สำหรับงานโครงสร้างคอนกรีตไม่อัดแรง,2025-11-01,0,0,2,2,,,,,,,,
2979-2562,ยางล้อแบบสูบลมหล่อดอกซ้ำ สำหรับยานยนต์เชิงพาณิชย์และส่วนพ่วง,2025-11-01,39,0,0,39,,,,,,,,
2981-2567,เหล็กกล้าทรงแบนเคลือบสังกะสีผสมอะลูมิเนียม 5% ขึ้นไป และแมกนีเซียม 2% ขึ้นไป โดยกรรมวิธีจุ่มร้อน,2025-11-01,0,0,1,1,,,,,,,,
