tis_number,tis_name_th,num_manufacturing_licenses,num_manufacturing_entrepreneurs,num_import_licenses,num_import_entrepreneurs,num_display_licenses,num_display_entrepreneurs,total_licenses,snapshot_date,num_total_entrepreneurs,import_to_manufacturing_ratio,import_dependency_ratio,domestic_share_ratio,display_to_total_ratio
1129-2535,ชุดพื้นยก,0,0,0,0,2,2,2,2025-11-01,2,0.0,0.0,0.0,0.99999950000025
113-2562,ตะปูเหล็ก,0,0,0,0,7,7,7,2025-11-01,7,0.0,0.0,0.0,0.9999998571428775
1132-2536,ภาชนะพลาสติกสำหรับบรรจุผลิตภัณฑ์ปิโตรเลียมจุดวาบไฟสูง,0,0,0,0,1,1,1,2025-11-01,1,0.0,0.0,0.0,0.9999990000010001
1136-2559,ฟิล์มยืดหุ้มห่ออาหาร,5,4,8,8,0,0,13,2025-11-01,12,1.599999680000064,0.615384568047341,0.3846153550295881,0.0
1139-2536,ท่อทองแดงไร้ตะเข็บ,0,0,0,0,8,1,8,2025-11-01,1,0.0,0.0,0.0,0.9999998750000157
1141-2565,ถ้วยกระดาษสำหรับเครื่องดื่ม,0,0,0,0,4,4,4,2025-11-01,4,0.0,0.0,0.0,0.9999997500000625
1146-2536,ชุดล้อสำหรับประตูและหน้าต่างบานเลื่อนอะลูมิเนียม,0,0,0,0,3,3,3,2025-11-01,3,0.0,0.0,0.0,0.9999996666667778
1147-2549,ดินสอสี,0,0,0,0,3,3,3,2025-11-01,3,0.0,0.0,0.0,0.9999996666667778
1149-2548,สีเทียน,9,8,14,8,0,0,23,2025-11-01,16,1.5555553827160686,0.6086956257088858,0.39130433081285515,0.0
115-2529,กุ้งเยือกแข็ง,0,0,0,0,1,1,1,2025-11-01,1,0.0,0.0,0.0,0.9999990000010001
1155-2557,เครื่องปรับอากาศสำหรับห้อง แบบแยกส่วน,0,0,0,0,116,18,116,2025-11-01,18,0.0,0.0,0.0,0.9999999913793104
1163-2536,แผ่นเทอร์โมเซตติงแลมิเนต,0,0,0,0,4,2,4,2025-11-01,2,0.0,0.0,0.0,0.9999997500000625
1164-2559,ท่อคอนกรีตเสริมเหล็กหล่อสำเร็จรูปสี่เหลี่ยมสำหรับงานระบายน้ำใต้ทางเท้า วัสดุถมไม่เกิน 3.0 m,0,0,0,0,137,119,137,2025-11-01,119,0.0,0.0,0.0,0.99999999270073
1165-2559,ท่อคอนกรีตเสริมเหล็กหล่อสำเร็จรูปสี่เหลี่ยมสำหรับงานระบายน้ำใต้ผิวจราจร วัสดุถมน้อยกว่า 0.6 m,0,0,0,0,33,25,33,2025-11-01,25,0.0,0.0,0.0,0.9999999696969707
1166-2559,ท่อคอนกรีตเสริมเหล็กหล่อสำเร็จรูปสี่เหลี่ยมสำหรับงานระบายน้ำใต้ผิวจราจร วัสดุถมระหว่าง 0.6 m ถึง 3.0 m,0,0,0,0,149,128,149,2025-11-01,128,0.0,0.0,0.0,0.9999999932885907
1170-2536,ฟรักโทสซิรัป,0,0,0,0,1,1,1,2025-11-01,1,0.0,0.0,0.0,0.9999990000010001
1177-2556,น้ำยารองพื้นสำหรับพื้นผิวที่เป็นฝุ่น,0,0,0,0,21,19,21,2025-11-01,19,0.0,0.0,0.0,0.9999999523809546
