tis_number,tis_name_th,num_manufacturing_licenses,num_manufacturing_entrepreneurs,num_import_licenses,num_import_entrepreneurs,num_display_licenses,num_display_entrepreneurs,total_licenses,snapshot_date,num_total_entrepreneurs,import_to_manufacturing_ratio,import_dependency_ratio,domestic_share_ratio,display_to_total_ratio
1678-2541,หมึกประทับตรา,0,0,0,0,1,1,1,2025-11-01,1,0.0,0.0,0.0,0.9999990000010001
1693-2547,เครื่องทำน้ำร้อนไฟฟ้า น้ำผ่านร้อนทันที เฉพาะด้านความปลอดภัย,71,15,135,49,0,0,206,2025-11-01,64,1.9014084239238251,0.6553398026439815,0.34466019250164953,0.0
17-2561,ท่อพีวีซีแข็งสำหรับใช้เป็นท่อน้ำดื่ม,41,38,1,1,0,0,42,2025-11-01,39,0.024390243307555043,0.0238095232426304,0.9761904529478465,0.0
173-2529,ยางฟองน้ำลาเทกซ์,0,0,0,0,1,1,1,2025-11-01,1,0.0,0.0,0.0,0.9999990000010001
1732-2558,กระจกเงา,0,0,0,0,2,2,2,2025-11-01,2,0.0,0.0,0.0,0.99999950000025
1735-2563,เหล็กกล้าแผ่นม้วนรีดร้อน สำหรับงานท่อ,14,10,22,13,0,0,36,2025-11-01,23,1.5714284591836816,0.611111094135803,0.3888888780864201,0.0
1745-2547,ผลิตภัณฑ์ซักผ้าชนิดเหลว,0,0,0,0,3,3,3,2025-11-01,3,0.0,0.0,0.0,0.9999996666667778
1746-2545,แอมโมเนียมไนเทรตสำหรับทำวัตถุระเบิดแอนโฟ,2,2,89,17,0,0,91,2025-11-01,19,44.49997775001112,0.9780219672744839,0.021978021736505256,0.0
175-2562,ไนโตรเจน,0,0,0,0,12,7,12,2025-11-01,7,0.0,0.0,0.0,0.9999999166666736
176-2561,น้ำมันถั่วเหลืองสำหรับบริโภค,0,0,0,0,5,3,5,2025-11-01,3,0.0,0.0,0.0,0.99999980000004
1773-2548,เตาไมโครเวฟสำหรับใช้ในที่อยู่อาศัย เฉพาะด้านความปลอดภัย,48,6,280,49,0,0,328,2025-11-01,55,5.8333332118055585,0.8536585339827484,0.14634146296847114,0.0
1776-2566,มอร์ตาร์สำหรับฉาบ,0,0,0,0,14,9,14,2025-11-01,9,0.0,0.0,0.0,0.9999999285714337
1777-2558,แคโพรแล็กแทมสำหรับอุตสาหกรรม,0,0,0,0,1,1,1,2025-11-01,1,0.0,0.0,0.0,0.9999990000010001
178-2549,แผ่นไม้อัด,0,0,0,0,21,12,21,2025-11-01,12,0.0,0.0,0.0,0.9999999523809546
18-2529,กระเบื้องซีเมนต์ใยหินแผ่นลอน : ลอนลูกฟูก,0,0,0,0,7,4,7,2025-11-01,4,0.0,0.0,0.0,0.9999998571428775
181-2530,กาวโพลิไวนิลอะซีเทตอิมัลชัน,0,0,0,0,1,1,1,2025-11-01,1,0.0,0.0,0.0,0.9999990000010001
182-2562,สำลีที่ใช้ในการแพทย์,0,0,0,0,5,5,5,2025-11-01,5,0.0,0.0,0.0,0.99999980000004
183-2562,โกลว์สตาร์ตเตอร์สำหรับหลอดฟลูออเรสเซนซ์,0,0,1,1,0,0,1,2025-11-01,1,1000000.0,0.9999990000010001,0.0,0.0
1878-2550,เครื่องจ่ายเชิงพาณิชย์และเครื่องขายสินค้าอัตโนมัติ เฉพาะด้านความปลอดภัย,0,0,0,0,6,2,6,2025-11-01,2,0.0,0.0,0.0,0.9999998333333611
188-2547,ปูนยิปซัมสำหรับการก่อสร้าง,0,0,0,0,3,2,3,2025-11-01,2,0.0,0.0,0.0,0.9999996666667778
1884-2564,เหล็กกล้าทรงแบนรีดร้อน ทนแรงดึงสูงที่ปรับปรุงสมบัติการขึ้นรูป สำหรับงานโครงสร้างรถยนต์,30,22,99,33,0,0,129,2025-11-01,55,3.2999998900000036,0.7674418545159546,0.23255813773210746,0.0
194-2535,ลวดเหล็กกล้าคาร์บอนต่ำ,0,0,0,0,43,28,43,2025-11-01,28,0.0,0.0,0.0,0.9999999767441866
1955-2551,บริภัณฑ์ส่องสว่างและบริภัณฑ์ที่คล้ายกัน : ขีดจำกัดสัญญาณรบกวนวิทยุ,890,219,4719,847,0,0,5609,2025-11-01,1066,5.3022471850536546,0.8413264395005657,0.1586735603211493,0.0
1956-2553,บริภัณฑ์เทคโนโลยีสารสนเทศ : ขีดจำกัดสัญญาณรบกวนวิทยุ,0,0,0,0,20,5,20,2025-11-01,5,0.0,0.0,0.0,0.9999999500000024
1984-2543,แผ่นยิปซัมเสริมใยแก้ว,0,0,0,0,2,1,2,2025-11-01,1,0.0,0.0,0.0,0.99999950000025
199-2534,ซิป,0,0,0,0,2,1,2,2025-11-01,1,0.0,0.0,0.0,0.99999950000025
1999-2560,เหล็กกล้าทรงแบนรีดร้อน สำหรับงานโครงสร้างรถยนต์,51,38,162,47,0,0,213,2025-11-01,85,3.1764705259515584,0.7605633767109701,0.2394366185941943,0.0
20-2559,เหล็กเส้นเสริมคอนกรีต : เหล็กเส้นกลม,38,34,0,0,0,0,38,2025-11-01,34,0.0,0.0,0.9999999736842113,0.0
200-2536,ลวดเสียบกระดาษ,0,0,0,0,1,1,1,2025-11-01,1,0.0,0.0,0.0,0.9999990000010001
2011-2563,เหล็กกล้าทรงแบนรีดร้อน ที่ต้านการกัดกร่อนได้ดีในบรรยากาศ,1,1,0,0,0,0,1,2025-11-01,1,0.0,0.0,0.9999990000010001,0.0
2012-2558,เหล็กกล้าทรงแบนรีดเย็น สำหรับงานทั่วไปและงานดึงขึ้นรูป,75,55,303,86,0,0,378,2025-11-01,141,4.039999946133334,0.8015872994667003,0.19841269788779708,0.0
205-2530,พัดลมไฟฟ้ากระแสสลับชนิดแขวนเพดาน,0,0,0,0,4,2,4,2025-11-01,2,0.0,0.0,0.0,0.9999997500000625
2060-2560,เหล็กกล้าทรงแบนรีดร้อน สำหรับงานถังก๊าซ,10,7,10,3,0,0,20,2025-11-01,10,0.99999990000001,0.4999999750000012,0.4999999750000012,0.0
2062-2558,กระติกน้ำร้อนไฟฟ้า คุณลักษณะที่ต้องการด้านความปลอดภัย,14,14,36,26,0,0,50,2025-11-01,40,2.571428387755115,0.7199999856000003,0.2799999944000001,0.0
2066-2552,ฝักบัวอาบน้ำ เฉพาะด้านสิ่งแวดล้อม : การประหยัดน้ำ,42,27,564,187,0,0,606,2025-11-01,214,13.428571108843546,0.9306930677711336,0.06930693057870144,0.0
2067-2552,ก๊อกน้ำสำหรับเครื่องสุขภัณฑ์ เฉพาะด้านสิ่งแวดล้อม : การประหยัดน้ำ,76,25,487,148,0,0,563,2025-11-01,173,6.407894652527702,0.8650088794582436,0.13499111876555753,0.0
207-2562,คลอรีนเหลว,0,0,0,0,6,5,6,2025-11-01,5,0.0,0.0,0.0,0.9999998333333611
208-2566,ตาข่ายลวดเหล็กเคลือบสังกะสี,0,0,0,0,1,1,1,2025-11-01,1,0.0,0.0,0.0,0.9999990000010001
2083-2544,ผลิตภัณฑ์ทำความสะอาดสำหรับกระเบื้องและเครื่องสุขภัณฑ์เซรามิก ประเภทสารลดแรงตึงผิว,0,0,0,0,1,1,1,2025-11-01,1,0.0,0.0,0.0,0.9999990000010001
2084-2552,กระบอกฉีดอินซูลินปราศจากเชื้อชนิดใช้ครั้งเดียว,0,0,0,0,1,1,1,2025-11-01,1,0.0,0.0,0.0,0.9999990000010001
2085-2556,เกลือบริโภคเสริมไอโอดีน,0,0,0,0,1,1,1,2025-11-01,1,0.0,0.0,0.0,0.9999990000010001
2086-2556,เกลือบริโภคบริสุทธิ์เสริมไอโอดีน,0,0,0,0,2,2,2,2025-11-01,2,0.0,0.0,0.0,0.99999950000025
2090-2564,เบียร์,0,0,0,0,1,1,1,2025-11-01,1,0.0,0.0,0.0,0.9999990000010001
21-2515,เครื่องเงิน,0,0,0,0,2,2,2,2025-11-01,2,0.0,0.0,0.0,0.99999950000025
2107-2544,หัวดับเพลิงไม่มีประตูน้ำ,0,0,0,0,2,2,2,2025-11-01,2,0.0,0.0,0.0,0.99999950000025
2109 เล่ม 2-2559,ฟิวส์แรงดันไฟฟ้าต่ำ เล่ม 2 คุณลักษณะที่ต้องการเพิ่มเติมสำหรับฟิวส์ที่ใช้โดยบุคคลที่ได้รับอนุญาต (ฟิวส์สำหรับใช้ในงานอุตสาหกรรมเป็นหลัก) - ตัวอย่างของระบบฟิวส์มาตรฐาน A ถึง K,0,0,0,0,4,4,4,2025-11-01,4,0.0,0.0,0.0,0.9999997500000625
2115-2545,ไม้พื้นอัดซ้อนเคลือบผิวสำเร็จ,0,0,0,0,1,1,1,2025-11-01,1,0.0,0.0,0.0,0.9999990000010001
2117-2545,ผลิตภัณฑ์ทำความสะอาดเครื่องครัว,0,0,0,0,1,1,1,2025-11-01,1,0.0,0.0,0.0,0.9999990000010001
2118-2545,ที่รองนั่งและฝาพลาสติกสำหรับโถส้วม,0,0,0,0,1,1,1,2025-11-01,1,0.0,0.0,0.0,0.9999990000010001
213-2560,คอนกรีตผสมเสร็จ,0,0,0,0,1432,962,1432,2025-11-01,962,0.0,0.0,0.0,0.9999999993016759
2132-2564,เหล็กแผ่นเคลือบสังกะสีโดยกรรมวิธีจุ่มร้อน และเคลือบสี : แผ่นลอน,0,0,0,0,3,2,3,2025-11-01,2,0.0,0.0,0.0,0.9999996666667778
2133-2545,ท่อเหล็กกล้าอ่อนเคลือบสังกะสีสำหรับร้อยสายไฟฟ้า,0,0,0,0,1,1,1,2025-11-01,1,0.0,0.0,0.0,0.9999990000010001
2134-2553,เครื่องปรับอากาศสำหรับห้อง : ประสิทธิภาพพลังงาน,729,39,187,65,0,0,916,2025-11-01,104,0.25651577468242004,0.20414847139285103,0.795851527515446,0.0
2135-2545,เถ้าลอยจากถ่านหินใช้เป็นวัสดุผสมคอนกรีต,0,0,0,0,1,1,1,2025-11-01,1,0.0,0.0,0.0,0.9999990000010001
2136-2545,แอนทราไซต์สำหรับกรองน้ำ,0,0,0,0,2,2,2,2025-11-01,2,0.0,0.0,0.0,0.99999950000025
2137-2559,เครื่องแบบนักเรียน : ข้อกำหนดทั่วไป,0,0,0,0,14,11,14,2025-11-01,11,0.0,0.0,0.0,0.9999999285714337
2138-2559,เครื่องแบบนักเรียน : ผ้าเครื่องแบบนักเรียน,0,0,0,0,1,1,1,2025-11-01,1,0.0,0.0,0.0,0.9999990000010001
214-2560,กระดาษชำระ,0,0,0,0,2,2,2,2025-11-01,2,0.0,0.0,0.0,0.99999950000025
2140-2560,เหล็กกล้าทรงแบนรีดเย็น สำหรับงานรถยนต์,36,24,91,33,0,0,127,2025-11-01,57,2.5277777075617305,0.7165354274288549,0.28346456469712944,0.0
2141-2546,อ่างอาบน้ำอะคริลิกเสริมใยแก้ว,0,0,0,0,2,2,2,2025-11-01,2,0.0,0.0,0.0,0.99999950000025
2143 เล่ม 1-2567,สายไฟฟ้าแรงดันสูงหุ้มฉนวนและอุปกรณ์ส่วนควบใช้กับแรงดันไฟฟ้าที่กำหนดตั้งแต่ 1 kV ถึงไม่เกิน 30 kV เล่ม 1 สายไฟฟ้าใช้กับแรงดันไฟฟ้าที่กำหนด 1 kV และ 3 kV,0,0,0,0,2,2,2,2025-11-01,2,0.0,0.0,0.0,0.99999950000025
2147-2546,ก๊อกน้ำอัตโนมัติสำหรับเครื่องสุขภัณฑ์,0,0,0,0,2,2,2,2025-11-01,2,0.0,0.0,0.0,0.99999950000025
2148-2546,ก๊อกน้ำอัตโนมัติสำหรับเครื่องสุขภัณฑ์ เฉพาะด้านสิ่งแวดล้อม : การประหยัดน้ำ,0,0,0,0,1,1,1,2025-11-01,1,0.0,0.0,0.0,0.9999990000010001
2149-2546,ก๊อกน้ำติดผนังสำหรับห้องน้ำ,0,0,0,0,7,5,7,2025-11-01,5,0.0,0.0,0.0,0.9999998571428775
2150-2564,พอลิอะลูมิเนียมคลอไรด์ชนิดเหลว,0,0,0,0,8,8,8,2025-11-01,8,0.0,0.0,0.0,0.9999998750000157
2151-2555,พอลิยูรีเทนเคลือบผิวชนิดแยกส่วนผสมสองส่วนใช้งานทั่วไป,0,0,0,0,3,3,3,2025-11-01,3,0.0,0.0,0.0,0.9999996666667778
2156-2547,มอดิฟายด์แอสฟัลต์ซีเมนต์สำหรับงานทาง,0,0,0,0,9,7,9,2025-11-01,7,0.0,0.0,0.0,0.9999998888889013
2157-2547,มอดิฟายด์แอสฟัลต์อิมัลชันสำหรับงานทาง,0,0,0,0,13,8,13,2025-11-01,8,0.0,0.0,0.0,0.9999999230769291
216-2524,ท่อพีวีซีแข็งสำหรับใช้ร้อยสายไฟฟ้าและสายโทรศัพท์,0,0,0,0,81,38,81,2025-11-01,38,0.0,0.0,0.0,0.9999999876543212
2165-2561,เคเบิลเส้นใยนำแสง เล่ม 3(10) : เคเบิลภายนอกอาคาร - ข้อกำหนดคุณลักษณะเป็นรายกลุ่ม สำหรับเคเบิลเส้นใยนำแสงโทรคมนาคมชนิดติดตั้งในท่อร้อยสาย ฝังดินโดยตรง และแขวนในอากาศโดยใช้ลวดพัน,5,5,23,18,0,0,28,2025-11-01,23,4.599999080000184,0.8214285420918378,0.17857142219387778,0.0
2166-2548,เคเบิลเส้นใยนำแสง เล่ม 3-20 : เคเบิลภายนอกอาคาร -ข้อกำหนดคุณลักษณะเป็นรายกลุ่มสำหรับเคเบิลเส้นใยนำแสงโทรคมนาคม แขวนในอากาศรับน้ำหนักตัวเองได้,39,8,237,80,0,0,276,2025-11-01,88,6.076922921104541,0.8586956490626969,0.14130434731411468,0.0
217-2556,กรดไฮโดรคลอริกสำหรับอุตสาหกรรม,0,0,0,0,7,6,7,2025-11-01,6,0.0,0.0,0.0,0.9999998571428775
218-2520,อะลูมิเนียมชุบผิว,0,0,0,0,8,6,8,2025-11-01,6,0.0,0.0,0.0,0.9999998750000157
2186-2561,ตู้เย็นและตู้เย็นแบบมีช่องแช่เยือกแข็งสำหรับใช้ในที่อยู่อาศัย ข้อกำหนดด้านสิ่งแวดล้อม : ประสิทธิภาพพลังงาน,14,10,89,33,0,0,103,2025-11-01,43,6.357142403061257,0.8640776615138092,0.1359223287774531,0.0
219-2566,แผ่นยิปซัม,0,0,0,0,8,6,8,2025-11-01,6,0.0,0.0,0.0,0.9999998750000157
2202-2547,สายไฟฟ้าแรงดันสูงหุ้มด้วยฉนวนครอสลิงกด์พอลิเอทิลีน สำหรับแรงดันไฟฟ้าที่กำหนดตั้งแต่ 60 กิโลโวลต์ ถึง 115 กิโลโวลต์,8,5,1,1,0,0,9,2025-11-01,6,0.12499998437500197,0.11111109876543349,0.8888887901234679,0.0
2203-2558,กระจกลวดลาย,0,0,0,0,1,1,1,2025-11-01,1,0.0,0.0,0.0,0.9999990000010001
221-2558,ซิงก์ออกไซด์สำหรับอุตสาหกรรมทั่วไป,0,0,0,0,1,1,1,2025-11-01,1,0.0,0.0,0.0,0.9999990000010001
2214-2561,ตู้เย็นและตู้เย็นแบบมีช่องแช่เยือกแข็ง สำหรับใช้ในที่อยู่อาศัย ข้อกำหนดด้านความปลอดภัย,14,10,106,38,0,0,120,2025-11-01,48,7.571428030612284,0.8833333259722222,0.11666666569444445,0.0
2217-2548,เซลล์และแบตเตอรี่ทุติยภูมิที่มีอิเล็กโทรไลต์แอลคาไลน์หรืออิเล็กโทรไลต์อื่นที่ไม่ใช่กรด สำหรับการใช้งานแบบพกพา เฉพาะด้านความปลอดภัย,10,8,1706,404,0,0,1716,2025-11-01,412,170.59998294000172,0.9941724935931395,0.005827505824109845,0.0
2223-2565,เหล็กกล้าทรงแบนเคลือบสังกะสี โดยกรรมวิธีทางไฟฟ้า,47,36,70,43,0,0,117,2025-11-01,79,1.4893616704391135,0.5982905931770035,0.40170939827598806,0.0
2224-2548,ผลิตภัณฑ์ขจัดคราบน้ำมัน,0,0,0,0,5,5,5,2025-11-01,5,0.0,0.0,0.0,0.99999980000004
2226-2548,แผ่นผนังคอนกรีตสำเร็จรูป,0,0,0,0,3,3,3,2025-11-01,3,0.0,0.0,0.0,0.9999996666667778
2228-2565,เหล็กกล้าทรงแบนเคลือบอะลูมิเนียม 55% ผสมสังกะสีโดยกรรมวิธีจุ่มร้อน,28,22,101,57,2,2,131,2025-11-01,81,3.607142728316331,0.7829457303647618,0.2170542618833003,0.01526717545597576
2234-2557,หลอดมีบัลลาสต์ในตัวสำหรับการให้แสงสว่างทั่วไป - คุณลักษณะที่ต้องการด้านความปลอดภัย,1,1,16,10,0,0,17,2025-11-01,11,15.999984000016001,0.9411764152249167,0.05882352595155729,0.0
2235-2557,หลอดฟลูออเรสเซนซ์ขั้วเดี่ยว - คุณลักษณะที่ต้องการด้านความปลอดภัย,1,1,8,4,0,0,9,2025-11-01,5,7.9999920000080005,0.8888887901234679,0.11111109876543349,0.0
224-2533,ท่อคอนกรีตไม่เสริมเหล็กสำหรับงานระบายน้ำ,0,0,0,0,8,7,8,2025-11-01,7,0.0,0.0,0.0,0.9999998750000157
2241-2548,สีเคลือบเงาอะคริลิกเรซิน,0,0,0,0,3,3,3,2025-11-01,3,0.0,0.0,0.0,0.9999996666667778
2243-2564,เหล็กลวดคาร์บอนสำหรับงานย้ำหัวและงานทุบขึ้นรูปเย็น,0,0,0,0,1,1,1,2025-11-01,1,0.0,0.0,0.0,0.9999990000010001
225-2562,ไฮโปคลอไรต์,0,0,0,0,13,11,13,2025-11-01,11,0.0,0.0,0.0,0.9999999230769291
2253-2548,ข้อต่อเหล็กหล่อแกรไฟต์กลมสำหรับท่อส่งน้ำชนิดทนความดัน,0,0,0,0,18,12,18,2025-11-01,12,0.0,0.0,0.0,0.9999999444444475
2254-2561,สีเท็กซ์เจอร์,0,0,0,0,1,1,1,2025-11-01,1,0.0,0.0,0.0,0.9999990000010001
2261-2549,เสื้อชั้นในชาย,0,0,0,0,5,5,5,2025-11-01,5,0.0,0.0,0.0,0.99999980000004
2274-2549,ผลิตภัณฑ์ฟอกผ้าประเภทเพอร์ออกไซด์,0,0,0,0,1,1,1,2025-11-01,1,0.0,0.0,0.0,0.9999990000010001
229-2540,อะเซทิลีน,0,0,0,0,1,1,1,2025-11-01,1,0.0,0.0,0.0,0.9999990000010001
23-2558,บัลลาสต์สำหรับหลอดฟลูออเรสเซนซ์ - คุณลักษณะที่ต้องการด้านความปลอดภัย,3,3,2,2,0,0,5,2025-11-01,5,0.6666664444445185,0.399999920000016,0.599999880000024,0.0
2303-2564,แผ่นฉนวนความร้อนใยแร่,0,0,0,0,1,1,1,2025-11-01,1,0.0,0.0,0.0,0.9999990000010001
2311-2549,ถังบรรจุก๊าซ-ถังทนความดันสูงสำหรับบรรจุก๊าซธรรมชาติที่ใช้เป็นเชื้อเพลิงสำหรับพาหนะรถยนต์,0,0,0,0,5,2,5,2025-11-01,2,0.0,0.0,0.0,0.99999980000004
2312-2549,เตาหุงต้มในครัวเรือนใช้กับก๊าซปิโตรเลียมเหลว,0,0,0,0,4,3,4,2025-11-01,3,0.0,0.0,0.0,0.9999997500000625
2316-2549,เสาเหล็กกล้าเคลือบสังกะสีสำหรับไฟฟ้าแสงสว่าง,0,0,0,0,63,60,63,2025-11-01,60,0.0,0.0,0.0,0.9999999841269844
2321-2564,สีอิมัลชันทนสภาวะอากาศ,0,0,0,0,36,35,36,2025-11-01,35,0.0,0.0,0.0,0.999999972222223
2329-2562,ลูกฟุตซอล,0,0,0,0,4,4,4,2025-11-01,4,0.0,0.0,0.0,0.9999997500000625
2335-2558,ยานยนต์ประเภท M1 N1 ที่ใช้เครื่องยนต์สันดาปภายใน หรือที่ขับเคลื่อนด้วยไฟฟ้า หรือไฮบริดไฟฟ้า: สารมลพิษคาร์บอนไดออกไซด์ ความสิ้นเปลืองเชื้อเพลิง - พลังงานไฟฟ้า และระยะขับเคลื่อนด้วยไฟฟ้า,0,0,0,0,9,2,9,2025-11-01,2,0.0,0.0,0.0,0.9999998888889013
2336-2552,มาตรพลังงานไฟฟ้ากระแสสลับ : ข้อกำหนดเฉพาะ มาตรกลไฟฟ้าสำหรับพลังงานไฟฟ้าใช้งาน (ชั้น 0.5 ชั้น 1 และ ชั้น 2),0,0,0,0,27,15,27,2025-11-01,15,0.0,0.0,0.0,0.9999999629629643
2337-2557,บัลลาสต์สำหรับหลอดฟลูออเรสเซนซ์ : คุณลักษณะที่ต้องการด้านประสิทธิภาพพลังงาน,3,3,4,3,0,0,7,2025-11-01,6,1.333332888889037,0.57142848979593,0.4285713673469475,0.0
2341-2564,สายไฟฟ้าอากาศตัวนำอะลูมิเนียมหุ้มฉนวนและเปลือกครอสลิงกด์พอลิเอทิลีน สำหรับแรงดันไฟฟ้าที่กำหนด 25 kV และ 35 kV,0,0,0,0,7,7,7,2025-11-01,7,0.0,0.0,0.0,0.9999998571428775
2344-2563,สีสังเคราะห์ : สีซัลเฟอร์,1,1,15,11,0,0,16,2025-11-01,12,14.999985000015002,0.9374999414062536,0.06249999609375024,0.0
2345-2550,ธูป,0,0,0,0,1,1,1,2025-11-01,1,0.0,0.0,0.0,0.9999990000010001
2346-2566,เสื้อผ้าสำเร็จรูป : ความปลอดภัยจากสีและสารเคมีที่เป็นอันตราย,0,0,0,0,1,1,1,2025-11-01,1,0.0,0.0,0.0,0.9999990000010001
2356-2550,แผ่นพีวีซีโฟมแข็ง,0,0,0,0,3,3,3,2025-11-01,3,0.0,0.0,0.0,0.9999996666667778
2357-2550,ท่ออะคริโลไนไทรล์-บิวทาไดอีน-สไตรีน (เอบีเอส) ทนความดัน,0,0,0,0,1,1,1,2025-11-01,1,0.0,0.0,0.0,0.9999990000010001
236-2548,หลอดฟลูออเรสเซนซ์ขั้วคู่,0,0,0,0,5,2,5,2025-11-01,2,0.0,0.0,0.0,0.99999980000004
2369-2551,กรดไนทริกสำหรับอุตสาหกรรม,0,0,0,0,1,1,1,2025-11-01,1,0.0,0.0,0.0,0.9999990000010001
237-2564,แหวนยางสำหรับท่อน้ำ,0,0,0,0,3,3,3,2025-11-01,3,0.0,0.0,0.0,0.9999996666667778
2377-2559,แผ่นยางปูพื้น,0,0,0,0,7,7,7,2025-11-01,7,0.0,0.0,0.0,0.9999998571428775
2378-2559,บล็อกยางปูพื้น,0,0,0,0,2,2,2,2025-11-01,2,0.0,0.0,0.0,0.99999950000025
238-2520,ถังน้ำเหล็กอาบสังกะสี,0,0,0,0,1,1,1,2025-11-01,1,0.0,0.0,0.0,0.9999990000010001
2385-2551,สายต่อใช้ในการแพทย์,0,0,0,0,1,1,1,2025-11-01,1,0.0,0.0,0.0,0.9999990000010001
2386-2555,สีรองพื้นกันสนิมซิงก์ฟอสเฟต,0,0,0,0,4,4,4,2025-11-01,4,0.0,0.0,0.0,0.9999997500000625
2387-2555,สีรองพื้นกันสนิม,0,0,0,0,17,16,17,2025-11-01,16,0.0,0.0,0.0,0.999999941176474
239-2561,กระดาษเช็ดมือ,0,0,0,0,1,1,1,2025-11-01,1,0.0,0.0,0.0,0.9999990000010001
2391-2551,สารละลายเฟร์ริกคลอไรด์,0,0,0,0,3,3,3,2025-11-01,3,0.0,0.0,0.0,0.9999996666667778
2392-2551,เครื่องกรองน้ำดื่ม,0,0,0,0,2,2,2,2025-11-01,2,0.0,0.0,0.0,0.99999950000025
24-2559,เหล็กเส้นเสริมคอนกรีต : เหล็กข้ออ้อย,46,37,3,1,0,0,49,2025-11-01,38,0.06521738988657848,0.06122448854643901,0.9387754910453981,0.0
240-2561,กระดาษเช็ดปาก,0,0,0,0,1,1,1,2025-11-01,1,0.0,0.0,0.0,0.9999990000010001
2424-2565,หน้ากากอนามัยใช้ครั้งเดียว,0,0,0,0,34,33,34,2025-11-01,33,0.0,0.0,0.0,0.9999999705882362
2425-2560,เครื่องตัดวงจรใช้กระแสเหลือแบบไม่มีอุปกรณ์ป้องกันกระแสเกิน สำหรับใช้ในที่อยู่อาศัยและใช้ในลักษณะที่คล้ายกัน เล่ม 1 หลักเกณฑ์ทั่วไป,2,2,46,37,0,0,48,2025-11-01,39,22.99998850000575,0.958333313368056,0.041666665798611134,0.0
2426-2552,เตาเผาไฟฟ้า : แบบความต้านทาน,0,0,0,0,1,1,1,2025-11-01,1,0.0,0.0,0.0,0.9999990000010001
2432-2555,เต้าเสียบและเต้ารับสำหรับใช้ในที่อยู่อาศัยและงานทั่วไปที่มีจุดประสงค์คล้ายกัน : ชุดสายพ่วง,72,48,122,79,0,0,194,2025-11-01,127,1.6944444209104943,0.6288659761398661,0.37113401870549473,0.0
2434-2552,สายเคเบิลโทรคมนาคม ตัวนำทองแดง หุ้มฉนวนพอลิโอเลฟิน สำหรับการติดตั้งแบบแขวนในอากาศ,8,7,5,2,0,0,13,2025-11-01,9,0.6249999218750099,0.3846153550295881,0.615384568047341,0.0
2438-2552,ที่นอนโฟมพอลิสไตรีน,0,0,0,0,3,2,3,2025-11-01,2,0.0,0.0,0.0,0.9999996666667778
2440-2552,เครื่องใช้เหล็กกล้าไร้สนิม: ภาชนะหุงต้มที่มีรอยประสาน,14,10,1,1,0,0,15,2025-11-01,11,0.07142856632653098,0.06666666222222252,0.9333332711111153,0.0
2441-2562,ถังก๊าซปิโตรเลียมเหลว : ถังคอมโพสิต,0,0,0,0,1,1,1,2025-11-01,1,0.0,0.0,0.0,0.9999990000010001
2461-2565,ตู้น้ำร้อนน้ำเย็นบริโภคและตู้น้ำเย็นบริโภค เฉพาะด้านความปลอดภัย,4,4,7,6,1,1,12,2025-11-01,11,1.7499995625001092,0.636363578512402,0.3636363305785154,0.08333332638888948
247-2552,ด้ายเย็บพอลิเอสเทอร์,0,0,0,0,1,1,1,2025-11-01,1,0.0,0.0,0.0,0.9999990000010001
2477-2552,ถุงฝายยาง,0,0,0,0,2,2,2,2025-11-01,2,0.0,0.0,0.0,0.99999950000025
2479-2552,ยางกันเรือกระแทกรูปท่อทรงกระบอกและรูปตัววี,0,0,0,0,2,2,2,2025-11-01,2,0.0,0.0,0.0,0.99999950000025
248-2567,ราวเหล็กลูกฟูกกันรถสำหรับทางสัญจร,0,0,0,0,56,56,56,2025-11-01,56,0.0,0.0,0.0,0.9999999821428575
2480-2562,หน้ากากใช้ครั้งเดียวชนิด N95 ลดความเสี่ยงการติดเชื้อทางการแพทย์,0,0,0,0,3,3,3,2025-11-01,3,0.0,0.0,0.0,0.9999996666667778
2481-2552,เครื่องขูดหินน้ำลายไฟฟ้า,0,0,0,0,3,3,3,2025-11-01,3,0.0,0.0,0.0,0.9999996666667778
249-2540,ข้อต่อท่อเหล็กหล่ออบเหนียวต่อด้วยเกลียว,0,0,0,0,8,3,8,2025-11-01,3,0.0,0.0,0.0,0.9999998750000157
2493 เล่ม 1-2554,ภาชนะพลาสติกบรรจุอาหารสำหรับเตาไมโครเวฟ เล่ม 1 สำหรับการอุ่น,66,64,40,25,0,0,106,2025-11-01,89,0.6060605968778697,0.377358487006052,0.6226415035599858,0.0
2493 เล่ม 2-2556,ภาชนะพลาสติกบรรจุอาหารสำหรับเตาไมโครเวฟ เล่ม 2 สำหรับการอุ่นครั้งเดียว,117,104,60,37,0,0,177,2025-11-01,141,0.5128205084374315,0.33898304893229914,0.6610169454179834,0.0
2502-2553,พรมทอ,0,0,0,0,1,1,1,2025-11-01,1,0.0,0.0,0.0,0.9999990000010001
2505-2553,ถุงมือยางที่ใช้ในอุตสาหกรรมอาหาร,0,0,0,0,1,1,1,2025-11-01,1,0.0,0.0,0.0,0.9999990000010001
2507-2553,ยางกันเรือกระแทกรูปตัวดีและรูปจัตุรัส,0,0,0,0,3,3,3,2025-11-01,3,0.0,0.0,0.0,0.9999996666667778
2508-2555,กระเบื้องเซรามิก,21,11,1590,197,0,0,1611,2025-11-01,208,75.7142821088437,0.9869646176368934,0.013035381742374064,0.0
