tis_number,tis_name_th,snapshot_date,num_manufacturing_licenses,num_import_licenses,num_display_licenses,num_manufacturing_entrepreneurs,num_import_entrepreneurs,num_display_entrepreneurs,num_total_entrepreneurs,total_licenses,import_to_manufacturing_ratio,import_dependency_ratio,domestic_share_ratio,display_to_total_ratio,risk_score,risk_label
1521-2541,กาวสำหรับกระดาษ,2025-11-01,0,0,5,0,0,3,3,5,0.0,0.0,0.0,0.99999980000004,24.953051643192488,low
1529-2561,เครื่องปรับอากาศ คุณลักษณะที่ต้องการด้านความปลอดภัย,2025-11-01,32,107,0,28,61,0,89,139,3.343749895507816,0.7697841671238549,0.23021582568190055,0.0,39.50850980013894,low
153-2565,อิฐกลวงก่อแผงไม่รับน้ำหนัก,2025-11-01,0,0,7,0,0,7,7,7,0.0,0.0,0.0,0.9999998571428775,12.429577464788732,low
155-2562,น้ำหวานเข้มข้น,2025-11-01,0,0,2,0,0,1,1,2,0.0,0.0,0.0,0.99999950000025,50.0,medium
156-2518,พิวเตอร์,2025-11-01,0,0,2,0,0,2,2,2,0.0,0.0,0.0,0.99999950000025,33.30203442879499,low
1561-2556,บริภัณฑ์เทคโนโลยีสารสนเทศ - ความปลอดภัย เล่ม 1 คุณลักษณะที่ต้องการทั่วไป,2025-11-01,0,0,1,0,0,1,1,1,0.0,0.0,0.0,0.9999990000010001,50.0,medium
1568-2541,บานประตูโพลิเอสเตอร์เสริมใยแก้ว,2025-11-01,0,0,9,0,0,8,8,9,0.0,0.0,0.0,0.9999998888889013,11.038080333854982,low
1569-2541,วงกบโพลิเอสเตอร์เสริมใยแก้วสำหรับประตู,2025-11-01,0,0,3,0,0,3,3,3,0.0,0.0,0.0,0.9999996666667778,24.953051643192488,low
158-2518,กระเบื้องดินเผามุงหลังคา,2025-11-01,0,0,5,0,0,3,3,5,0.0,0.0,0.0,0.99999980000004,24.953051643192488,low
1580-2541,บัตรชี้บ่งลักษณะเฉพาะตัว - ลักษณะสมบัติทางกายภาพ,2025-11-01,0,0,2,0,0,1,1,2,0.0,0.0,0.0,0.99999950000025,50.0,medium
163-2535,ลวดเหล็กกล้าคาร์บอนต่ำอบอ่อน,2025-11-01,0,0,2,0,0,2,2,2,0.0,0.0,0.0,0.99999950000025,33.30203442879499,low
1641-2552,เตาย่าง เตาปิ้ง และเครื่องทำอาหารเคลื่อนย้ายได้ที่คล้ายกัน เฉพาะด้านความปลอดภัย,2025-11-01,31,621,0,21,166,0,187,652,20.032257418314277,0.9524539862692424,0.04754601219701532,0.0,48.06171695493984,medium
165-2554,สารส้ม,2025-11-01,0,0,24,0,0,16,16,24,0.0,0.0,0.0,0.999999958333335,5.79950289975145,low
1651-2541,วงกบและกรอบบานโลหะสำหรับประตูและหน้าต่าง : วงกบเหล็กกล้า,2025-11-01,0,0,21,0,0,21,21,21,0.0,0.0,0.0,0.9999999523809546,4.460093896713615,low
166-2549,เต้าเสียบและเต้ารับสำหรับใช้ในที่อยู่อาศัยและงานทั่วไปที่มีจุดประสงค์คล้ายกัน : เต้าเสียบและเต้ารับที่มีแรงดันไฟฟ้าที่กำหนดไม่เกิน 250 โวลต์,2025-11-01,65,160,0,57,86,0,143,225,2.4615384236686397,0.7111111079506173,0.2888888876049383,0.0,36.15740766768337,low
167-2528,อิฐประดับคัลเซียมซิลิเกตหรืออิฐปูนขาวทราย,2025-11-01,0,0,2,0,0,1,1,2,0.0,0.0,0.0,0.99999950000025,50.0,medium
1677-2541,แท่นประทับตรา,2025-11-01,0,0,3,0,0,2,2,3,0.0,0.0,0.0,0.9999996666667778,33.30203442879499,low
1678-2541,หมึกประทับตรา,2025-11-01,0,0,1,0,0,1,1,1,0.0,0.0,0.0,0.9999990000010001,50.0,medium
1693-2547,เครื่องทำน้ำร้อนไฟฟ้า น้ำผ่านร้อนทันที เฉพาะด้านความปลอดภัย,2025-11-01,71,135,0,15,49,0,64,206,1.9014084239238251,0.6553398026439815,0.34466019250164953,0.0,34.21444447218929,low
17-2561,ท่อพีวีซีแข็งสำหรับใช้เป็นท่อน้ำดื่ม,2025-11-01,41,1,0,38,1,0,39,42,0.024390243307555043,0.0238095232426304,0.9761904529478465,0.0,3.60127429820285,low
173-2529,ยางฟองน้ำลาเทกซ์,2025-11-01,0,0,1,0,0,1,1,1,0.0,0.0,0.0,0.9999990000010001,50.0,medium
1732-2558,กระจกเงา,2025-11-01,0,0,2,0,0,2,2,2,0.0,0.0,0.0,0.99999950000025,33.30203442879499,low
1735-2563,เหล็กกล้าแผ่นม้วนรีดร้อน สำหรับงานท่อ,2025-11-01,14,22,0,10,13,0,23,36,1.5714284591836816,0.611111094135803,0.3888888780864201,0.0,34.636149745453494,low
1745-2547,ผลิตภัณฑ์ซักผ้าชนิดเหลว,2025-11-01,0,0,3,0,0,3,3,3,0.0,0.0,0.0,0.9999996666667778,24.953051643192488,low
1746-2545,แอมโมเนียมไนเทรตสำหรับทำวัตถุระเบิดแอนโฟ,2025-11-01,2,89,0,2,17,0,19,91,44.49997775001112,0.9780219672744839,0.021978021736505256,0.0,53.816591896777716,medium
175-2562,ไนโตรเจน,2025-11-01,0,0,12,0,0,7,7,12,0.0,0.0,0.0,0.9999999166666736,12.429577464788732,low
176-2561,น้ำมันถั่วเหลืองสำหรับบริโภค,2025-11-01,0,0,5,0,0,3,3,5,0.0,0.0,0.0,0.99999980000004,24.953051643192488,low
1773-2548,เตาไมโครเวฟสำหรับใช้ในที่อยู่อาศัย เฉพาะด้านความปลอดภัย,2025-11-01,48,280,0,6,49,0,55,328,5.8333332118055585,0.8536585339827484,0.14634146296847114,0.0,44.37809822744644,medium
1776-2566,มอร์ตาร์สำหรับฉาบ,2025-11-01,0,0,14,0,0,9,9,14,0.0,0.0,0.0,0.9999999285714337,9.924882629107982,low
1777-2558,แคโพรแล็กแทมสำหรับอุตสาหกรรม,2025-11-01,0,0,1,0,0,1,1,1,0.0,0.0,0.0,0.9999990000010001,50.0,medium
178-2549,แผ่นไม้อัด,2025-11-01,0,0,21,0,0,12,12,21,0.0,0.0,0.0,0.9999999523809546,7.6128566269411335,low
18-2529,กระเบื้องซีเมนต์ใยหินแผ่นลอน : ลอนลูกฟูก,2025-11-01,0,0,7,0,0,4,4,7,0.0,0.0,0.0,0.9999998571428775,19.943661971830988,low
181-2530,กาวโพลิไวนิลอะซีเทตอิมัลชัน,2025-11-01,0,0,1,0,0,1,1,1,0.0,0.0,0.0,0.9999990000010001,50.0,medium
182-2562,สำลีที่ใช้ในการแพทย์,2025-11-01,0,0,5,0,0,5,5,5,0.0,0.0,0.0,0.99999980000004,16.604068857589986,low
183-2562,โกลว์สตาร์ตเตอร์สำหรับหลอดฟลูออเรสเซนซ์,2025-11-01,0,1,0,0,1,0,1,1,1000000.0,0.9999990000010001,0.0,0.0,99.99995058828472,high
1878-2550,เครื่องจ่ายเชิงพาณิชย์และเครื่องขายสินค้าอัตโนมัติ เฉพาะด้านความปลอดภัย,2025-11-01,0,0,6,0,0,2,2,6,0.0,0.0,0.0,0.9999998333333611,33.30203442879499,low
188-2547,ปูนยิปซัมสำหรับการก่อสร้าง,2025-11-01,0,0,3,0,0,2,2,3,0.0,0.0,0.0,0.9999996666667778,33.30203442879499,low
1884-2564,เหล็กกล้าทรงแบนรีดร้อน ทนแรงดึงสูงที่ปรับปรุงสมบัติการขึ้นรูป สำหรับงานโครงสร้างรถยนต์,2025-11-01,30,99,0,22,33,0,55,129,3.2999998900000036,0.7674418545159546,0.23255813773210746,0.0,40.06726420339106,medium
194-2535,ลวดเหล็กกล้าคาร์บอนต่ำ,2025-11-01,0,0,43,0,0,28,28,43,0.0,0.0,0.0,0.9999999767441866,3.3608547838756677,low
1955-2551,บริภัณฑ์ส่องสว่างและบริภัณฑ์ที่คล้ายกัน : ขีดจำกัดสัญญาณรบกวนวิทยุ,2025-11-01,890,4719,0,219,847,0,1066,5609,5.3022471850536546,0.8413264395005657,0.1586735603211493,0.0,42.06632246992619,medium
1956-2553,บริภัณฑ์เทคโนโลยีสารสนเทศ : ขีดจำกัดสัญญาณรบกวนวิทยุ,2025-11-01,0,0,20,0,0,5,5,20,0.0,0.0,0.0,0.9999999500000024,16.604068857589986,low
1984-2543,แผ่นยิปซัมเสริมใยแก้ว,2025-11-01,0,0,2,0,0,1,1,2,0.0,0.0,0.0,0.99999950000025,50.0,medium
199-2534,ซิป,2025-11-01,0,0,2,0,0,1,1,2,0.0,0.0,0.0,0.99999950000025,50.0,medium
1999-2560,เหล็กกล้าทรงแบนรีดร้อน สำหรับงานโครงสร้างรถยนต์,2025-11-01,51,162,0,38,47,0,85,213,3.1764705259515584,0.7605633767109701,0.2394366185941943,0.0,39.0992469115008,low
20-2559,เหล็กเส้นเสริมคอนกรีต : เหล็กเส้นกลม,2025-11-01,38,0,0,34,0,0,34,38,0.0,0.0,0.9999999736842113,0.0,2.7686116700201207,low
200-2536,ลวดเสียบกระดาษ,2025-11-01,0,0,1,0,0,1,1,1,0.0,0.0,0.0,0.9999990000010001,50.0,medium
2011-2563,เหล็กกล้าทรงแบนรีดร้อน ที่ต้านการกัดกร่อนได้ดีในบรรยากาศ,2025-11-01,1,0,0,1,0,0,1,1,0.0,0.0,0.9999990000010001,0.0,50.0,medium
2012-2558,เหล็กกล้าทรงแบนรีดเย็น สำหรับงานทั่วไปและงานดึงขึ้นรูป,2025-11-01,75,303,0,55,86,0,141,378,4.039999946133334,0.8015872994667003,0.19841269788779708,0.0,40.69101657227876,medium
205-2530,พัดลมไฟฟ้ากระแสสลับชนิดแขวนเพดาน,2025-11-01,0,0,4,0,0,2,2,4,0.0,0.0,0.0,0.9999997500000625,33.30203442879499,low
2060-2560,เหล็กกล้าทรงแบนรีดร้อน สำหรับงานถังก๊าซ,2025-11-01,10,10,0,7,3,0,10,20,0.99999990000001,0.4999999750000012,0.4999999750000012,0.0,34.01408355115995,low
2062-2558,กระติกน้ำร้อนไฟฟ้า คุณลักษณะที่ต้องการด้านความปลอดภัย,2025-11-01,14,36,0,14,26,0,40,50,2.571428387755115,0.7199999856000003,0.2799999944000001,0.0,38.34970770765172,low
2066-2552,ฝักบัวอาบน้ำ เฉพาะด้านสิ่งแวดล้อม : การประหยัดน้ำ,2025-11-01,42,564,0,27,187,0,214,606,13.428571108843546,0.9306930677711336,0.06930693057870144,0.0,46.906746959279005,medium
2067-2552,ก๊อกน้ำสำหรับเครื่องสุขภัณฑ์ เฉพาะด้านสิ่งแวดล้อม : การประหยัดน้ำ,2025-11-01,76,487,0,25,148,0,173,563,6.407894652527702,0.8650088794582436,0.13499111876555753,0.0,43.73233968437435,medium
207-2562,คลอรีนเหลว,2025-11-01,0,0,6,0,0,5,5,6,0.0,0.0,0.0,0.9999998333333611,16.604068857589986,low
208-2566,ตาข่ายลวดเหล็กเคลือบสังกะสี,2025-11-01,0,0,1,0,0,1,1,1,0.0,0.0,0.0,0.9999990000010001,50.0,medium
2083-2544,ผลิตภัณฑ์ทำความสะอาดสำหรับกระเบื้องและเครื่องสุขภัณฑ์เซรามิก ประเภทสารลดแรงตึงผิว,2025-11-01,0,0,1,0,0,1,1,1,0.0,0.0,0.0,0.9999990000010001,50.0,medium
2084-2552,กระบอกฉีดอินซูลินปราศจากเชื้อชนิดใช้ครั้งเดียว,2025-11-01,0,0,1,0,0,1,1,1,0.0,0.0,0.0,0.9999990000010001,50.0,medium
2085-2556,เกลือบริโภคเสริมไอโอดีน,2025-11-01,0,0,1,0,0,1,1,1,0.0,0.0,0.0,0.9999990000010001,50.0,medium
2086-2556,เกลือบริโภคบริสุทธิ์เสริมไอโอดีน,2025-11-01,0,0,2,0,0,2,2,2,0.0,0.0,0.0,0.99999950000025,33.30203442879499,low
2090-2564,เบียร์,2025-11-01,0,0,1,0,0,1,1,1,0.0,0.0,0.0,0.9999990000010001,50.0,medium
21-2515,เครื่องเงิน,2025-11-01,0,0,2,0,0,2,2,2,0.0,0.0,0.0,0.99999950000025,33.30203442879499,low
2107-2544,หัวดับเพลิงไม่มีประตูน้ำ,2025-11-01,0,0,2,0,0,2,2,2,0.0,0.0,0.0,0.99999950000025,33.30203442879499,low
2109 เล่ม 2-2559,ฟิวส์แรงดันไฟฟ้าต่ำ เล่ม 2 คุณลักษณะที่ต้องการเพิ่มเติมสำหรับฟิวส์ที่ใช้โดยบุคคลที่ได้รับอนุญาต (ฟิวส์สำหรับใช้ในงานอุตสาหกรรมเป็นหลัก) - ตัวอย่างของระบบฟิวส์มาตรฐาน A ถึง K,2025-11-01,0,0,4,0,0,4,4,4,0.0,0.0,0.0,0.9999997500000625,19.943661971830988,low
2115-2545,ไม้พื้นอัดซ้อนเคลือบผิวสำเร็จ,2025-11-01,0,0,1,0,0,1,1,1,0.0,0.0,0.0,0.9999990000010001,50.0,medium
2117-2545,ผลิตภัณฑ์ทำความสะอาดเครื่องครัว,2025-11-01,0,0,1,0,0,1,1,1,0.0,0.0,0.0,0.9999990000010001,50.0,medium
2118-2545,ที่รองนั่งและฝาพลาสติกสำหรับโถส้วม,2025-11-01,0,0,1,0,0,1,1,1,0.0,0.0,0.0,0.9999990000010001,50.0,medium
213-2560,คอนกรีตผสมเสร็จ,2025-11-01,0,0,1432,0,0,962,962,1432,0.0,0.0,0.0,0.9999999993016759,0.010140455052920494,low
2132-2564,เหล็กแผ่นเคลือบสังกะสีโดยกรรมวิธีจุ่มร้อน และเคลือบสี : แผ่นลอน,2025-11-01,0,0,3,0,0,2,2,3,0.0,0.0,0.0,0.9999996666667778,33.30203442879499,low
2133-2545,ท่อเหล็กกล้าอ่อนเคลือบสังกะสีสำหรับร้อยสายไฟฟ้า,2025-11-01,0,0,1,0,0,1,1,1,0.0,0.0,0.0,0.9999990000010001,50.0,medium
2134-2553,เครื่องปรับอากาศสำหรับห้อง : ประสิทธิภาพพลังงาน,2025-11-01,729,187,0,39,65,0,104,916,0.25651577468242004,0.20414847139285103,0.795851527515446,0.0,11.067696437326578,low
2135-2545,เถ้าลอยจากถ่านหินใช้เป็นวัสดุผสมคอนกรีต,2025-11-01,0,0,1,0,0,1,1,1,0.0,0.0,0.0,0.9999990000010001,50.0,medium
2136-2545,แอนทราไซต์สำหรับกรองน้ำ,2025-11-01,0,0,2,0,0,2,2,2,0.0,0.0,0.0,0.99999950000025,33.30203442879499,low
2137-2559,เครื่องแบบนักเรียน : ข้อกำหนดทั่วไป,2025-11-01,0,0,14,0,0,11,11,14,0.0,0.0,0.0,0.9999999285714337,8.25508607198748,low
2138-2559,เครื่องแบบนักเรียน : ผ้าเครื่องแบบนักเรียน,2025-11-01,0,0,1,0,0,1,1,1,0.0,0.0,0.0,0.9999990000010001,50.0,medium
214-2560,กระดาษชำระ,2025-11-01,0,0,2,0,0,2,2,2,0.0,0.0,0.0,0.99999950000025,33.30203442879499,low
2140-2560,เหล็กกล้าทรงแบนรีดเย็น สำหรับงานรถยนต์,2025-11-01,36,91,0,24,33,0,57,127,2.5277777075617305,0.7165354274288549,0.28346456469712944,0.0,37.460250828064495,low
2141-2546,อ่างอาบน้ำอะคริลิกเสริมใยแก้ว,2025-11-01,0,0,2,0,0,2,2,2,0.0,0.0,0.0,0.99999950000025,33.30203442879499,low
2143 เล่ม 1-2567,สายไฟฟ้าแรงดันสูงหุ้มฉนวนและอุปกรณ์ส่วนควบใช้กับแรงดันไฟฟ้าที่กำหนดตั้งแต่ 1 kV ถึงไม่เกิน 30 kV เล่ม 1 สายไฟฟ้าใช้กับแรงดันไฟฟ้าที่กำหนด 1 kV และ 3 kV,2025-11-01,0,0,2,0,0,2,2,2,0.0,0.0,0.0,0.99999950000025,33.30203442879499,low
2147-2546,ก๊อกน้ำอัตโนมัติสำหรับเครื่องสุขภัณฑ์,2025-11-01,0,0,2,0,0,2,2,2,0.0,0.0,0.0,0.99999950000025,33.30203442879499,low
2148-2546,ก๊อกน้ำอัตโนมัติสำหรับเครื่องสุขภัณฑ์ เฉพาะด้านสิ่งแวดล้อม : การประหยัดน้ำ,2025-11-01,0,0,1,0,0,1,1,1,0.0,0.0,0.0,0.9999990000010001,50.0,medium
2149-2546,ก๊อกน้ำติดผนังสำหรับห้องน้ำ,2025-11-01,0,0,7,0,0,5,5,7,0.0,0.0,0.0,0.9999998571428775,16.604068857589986,low
2150-2564,พอลิอะลูมิเนียมคลอไรด์ชนิดเหลว,2025-11-01,0,0,8,0,0,8,8,8,0.0,0.0,0.0,0.9999998750000157,11.038080333854982,low
2151-2555,พอลิยูรีเทนเคลือบผิวชนิดแยกส่วนผสมสองส่วนใช้งานทั่วไป,2025-11-01,0,0,3,0,0,3,3,3,0.0,0.0,0.0,0.9999996666667778,24.953051643192488,low
2156-2547,มอดิฟายด์แอสฟัลต์ซีเมนต์สำหรับงานทาง,2025-11-01,0,0,9,0,0,7,7,9,0.0,0.0,0.0,0.9999998888889013,12.429577464788732,low
2157-2547,มอดิฟายด์แอสฟัลต์อิมัลชันสำหรับงานทาง,2025-11-01,0,0,13,0,0,8,8,13,0.0,0.0,0.0,0.9999999230769291,11.038080333854982,low
216-2524,ท่อพีวีซีแข็งสำหรับใช้ร้อยสายไฟฟ้าและสายโทรศัพท์,2025-11-01,0,0,81,0,0,38,38,81,0.0,0.0,0.0,0.9999999876543212,2.475021066570362,low
2165-2561,เคเบิลเส้นใยนำแสง เล่ม 3(10) : เคเบิลภายนอกอาคาร - ข้อกำหนดคุณลักษณะเป็นรายกลุ่ม สำหรับเคเบิลเส้นใยนำแสงโทรคมนาคมชนิดติดตั้งในท่อร้อยสาย ฝังดินโดยตรง และแขวนในอากาศโดยใช้ลวดพัน,2025-11-01,5,23,0,5,18,0,23,28,4.599999080000184,0.8214285420918378,0.17857142219387778,0.0,45.15202226697138,medium
2166-2548,เคเบิลเส้นใยนำแสง เล่ม 3-20 : เคเบิลภายนอกอาคาร -ข้อกำหนดคุณลักษณะเป็นรายกลุ่มสำหรับเคเบิลเส้นใยนำแสงโทรคมนาคม แขวนในอากาศรับน้ำหนักตัวเองได้,2025-11-01,39,237,0,8,80,0,88,276,6.076922921104541,0.8586956490626969,0.14130434731411468,0.0,43.96659178876109,medium
217-2556,กรดไฮโดรคลอริกสำหรับอุตสาหกรรม,2025-11-01,0,0,7,0,0,6,6,7,0.0,0.0,0.0,0.9999998571428775,14.218645204560698,low
218-2520,อะลูมิเนียมชุบผิว,2025-11-01,0,0,8,0,0,6,6,8,0.0,0.0,0.0,0.9999998750000157,14.218645204560698,low
2186-2561,ตู้เย็นและตู้เย็นแบบมีช่องแช่เยือกแข็งสำหรับใช้ในที่อยู่อาศัย ข้อกำหนดด้านสิ่งแวดล้อม : ประสิทธิภาพพลังงาน,2025-11-01,14,89,0,10,33,0,43,103,6.357142403061257,0.8640776615138092,0.1359223287774531,0.0,45.386982175520735,medium
219-2566,แผ่นยิปซัม,2025-11-01,0,0,8,0,0,6,6,8,0.0,0.0,0.0,0.9999998750000157,14.218645204560698,low
2202-2547,สายไฟฟ้าแรงดันสูงหุ้มด้วยฉนวนครอสลิงกด์พอลิเอทิลีน สำหรับแรงดันไฟฟ้าที่กำหนดตั้งแต่ 60 กิโลโวลต์ ถึง 115 กิโลโวลต์,2025-11-01,8,1,0,5,1,0,6,9,0.12499998437500197,0.11111109876543349,0.8888887901234679,0.0,19.774200208191843,low
2203-2558,กระจกลวดลาย,2025-11-01,0,0,1,0,0,1,1,1,0.0,0.0,0.0,0.9999990000010001,50.0,medium
221-2558,ซิงก์ออกไซด์สำหรับอุตสาหกรรมทั่วไป,2025-11-01,0,0,1,0,0,1,1,1,0.0,0.0,0.0,0.9999990000010001,50.0,medium
2214-2561,ตู้เย็นและตู้เย็นแบบมีช่องแช่เยือกแข็ง สำหรับใช้ในที่อยู่อาศัย ข้อกำหนดด้านความปลอดภัย,2025-11-01,14,106,0,10,38,0,48,120,7.571428030612284,0.8833333259722222,0.11666666569444445,0.0,46.1174189500576,medium
2217-2548,เซลล์และแบตเตอรี่ทุติยภูมิที่มีอิเล็กโทรไลต์แอลคาไลน์หรืออิเล็กโทรไลต์อื่นที่ไม่ใช่กรด สำหรับการใช้งานแบบพกพา เฉพาะด้านความปลอดภัย,2025-11-01,10,1706,0,8,404,0,412,1716,170.59998294000172,0.9941724935931395,0.005827505824109845,0.0,49.85731400708957,medium
2223-2565,เหล็กกล้าทรงแบนเคลือบสังกะสี โดยกรรมวิธีทางไฟฟ้า,2025-11-01,47,70,0,36,43,0,79,117,1.4893616704391135,0.5982905931770035,0.40170939827598806,0.0,31.07298071501117,low
2224-2548,ผลิตภัณฑ์ขจัดคราบน้ำมัน,2025-11-01,0,0,5,0,0,5,5,5,0.0,0.0,0.0,0.99999980000004,16.604068857589986,low
2226-2548,แผ่นผนังคอนกรีตสำเร็จรูป,2025-11-01,0,0,3,0,0,3,3,3,0.0,0.0,0.0,0.9999996666667778,24.953051643192488,low
2228-2565,เหล็กกล้าทรงแบนเคลือบอะลูมิเนียม 55% ผสมสังกะสีโดยกรรมวิธีจุ่มร้อน,2025-11-01,28,101,2,22,57,2,81,131,3.607142728316331,0.7829457303647618,0.2170542618833003,0.01526717545597576,40.27519262404804,medium
2234-2557,หลอดมีบัลลาสต์ในตัวสำหรับการให้แสงสว่างทั่วไป - คุณลักษณะที่ต้องการด้านความปลอดภัย,2025-11-01,1,16,0,1,10,0,11,17,15.999984000016001,0.9411764152249167,0.05882352595155729,0.0,55.3139073868665,medium
2235-2557,หลอดฟลูออเรสเซนซ์ขั้วเดี่ยว - คุณลักษณะที่ต้องการด้านความปลอดภัย,2025-11-01,1,8,0,1,4,0,5,9,7.9999920000080005,0.8888887901234679,0.11111109876543349,0.0,61.04850888663914,medium
224-2533,ท่อคอนกรีตไม่เสริมเหล็กสำหรับงานระบายน้ำ,2025-11-01,0,0,8,0,0,7,7,8,0.0,0.0,0.0,0.9999998750000157,12.429577464788732,low
2241-2548,สีเคลือบเงาอะคริลิกเรซิน,2025-11-01,0,0,3,0,0,3,3,3,0.0,0.0,0.0,0.9999996666667778,24.953051643192488,low
2243-2564,เหล็กลวดคาร์บอนสำหรับงานย้ำหัวและงานทุบขึ้นรูปเย็น,2025-11-01,0,0,1,0,0,1,1,1,0.0,0.0,0.0,0.9999990000010001,50.0,medium
225-2562,ไฮโปคลอไรต์,2025-11-01,0,0,13,0,0,11,11,13,0.0,0.0,0.0,0.9999999230769291,8.25508607198748,low
2253-2548,ข้อต่อเหล็กหล่อแกรไฟต์กลมสำหรับท่อส่งน้ำชนิดทนความดัน,2025-11-01,0,0,18,0,0,12,12,18,0.0,0.0,0.0,0.9999999444444475,7.6128566269411335,low
2254-2561,สีเท็กซ์เจอร์,2025-11-01,0,0,1,0,0,1,1,1,0.0,0.0,0.0,0.9999990000010001,50.0,medium
2261-2549,เสื้อชั้นในชาย,2025-11-01,0,0,5,0,0,5,5,5,0.0,0.0,0.0,0.99999980000004,16.604068857589986,low
2274-2549,ผลิตภัณฑ์ฟอกผ้าประเภทเพอร์ออกไซด์,2025-11-01,0,0,1,0,0,1,1,1,0.0,0.0,0.0,0.9999990000010001,50.0,medium
229-2540,อะเซทิลีน,2025-11-01,0,0,1,0,0,1,1,1,0.0,0.0,0.0,0.9999990000010001,50.0,medium
23-2558,บัลลาสต์สำหรับหลอดฟลูออเรสเซนซ์ - คุณลักษณะที่ต้องการด้านความปลอดภัย,2025-11-01,3,2,0,3,2,0,5,5,0.6666664444445185,0.399999920000016,0.599999880000024,0.0,36.60406509288485,low
2303-2564,แผ่นฉนวนความร้อนใยแร่,2025-11-01,0,0,1,0,0,1,1,1,0.0,0.0,0.0,0.9999990000010001,50.0,medium
2311-2549,ถังบรรจุก๊าซ-ถังทนความดันสูงสำหรับบรรจุก๊าซธรรมชาติที่ใช้เป็นเชื้อเพลิงสำหรับพาหนะรถยนต์,2025-11-01,0,0,5,0,0,2,2,5,0.0,0.0,0.0,0.99999980000004,33.30203442879499,low
2312-2549,เตาหุงต้มในครัวเรือนใช้กับก๊าซปิโตรเลียมเหลว,2025-11-01,0,0,4,0,0,3,3,4,0.0,0.0,0.0,0.9999997500000625,24.953051643192488,low
2316-2549,เสาเหล็กกล้าเคลือบสังกะสีสำหรับไฟฟ้าแสงสว่าง,2025-11-01,0,0,63,0,0,60,60,63,0.0,0.0,0.0,0.9999999841269844,1.5485261294543216,low
2321-2564,สีอิมัลชันทนสภาวะอากาศ,2025-11-01,0,0,36,0,0,35,35,36,0.0,0.0,0.0,0.999999972222223,2.6890975482524775,low
2329-2562,ลูกฟุตซอล,2025-11-01,0,0,4,0,0,4,4,4,0.0,0.0,0.0,0.9999997500000625,19.943661971830988,low
2335-2558,ยานยนต์ประเภท M1 N1 ที่ใช้เครื่องยนต์สันดาปภายใน หรือที่ขับเคลื่อนด้วยไฟฟ้า หรือไฮบริดไฟฟ้า: สารมลพิษคาร์บอนไดออกไซด์ ความสิ้นเปลืองเชื้อเพลิง - พลังงานไฟฟ้า และระยะขับเคลื่อนด้วยไฟฟ้า,2025-11-01,0,0,9,0,0,2,2,9,0.0,0.0,0.0,0.9999998888889013,33.30203442879499,low
2336-2552,มาตรพลังงานไฟฟ้ากระแสสลับ : ข้อกำหนดเฉพาะ มาตรกลไฟฟ้าสำหรับพลังงานไฟฟ้าใช้งาน (ชั้น 0.5 ชั้น 1 และ ชั้น 2),2025-11-01,0,0,27,0,0,15,15,27,0.0,0.0,0.0,0.9999999629629643,6.167840375586854,low
2337-2557,บัลลาสต์สำหรับหลอดฟลูออเรสเซนซ์ : คุณลักษณะที่ต้องการด้านประสิทธิภาพพลังงาน,2025-11-01,3,4,0,3,3,0,6,7,1.333332888889037,0.57142848979593,0.4285713673469475,0.0,42.7900700304916,medium
2341-2564,สายไฟฟ้าอากาศตัวนำอะลูมิเนียมหุ้มฉนวนและเปลือกครอสลิงกด์พอลิเอทิลีน สำหรับแรงดันไฟฟ้าที่กำหนด 25 kV และ 35 kV,2025-11-01,0,0,7,0,0,7,7,7,0.0,0.0,0.0,0.9999998571428775,12.429577464788732,low
2344-2563,สีสังเคราะห์ : สีซัลเฟอร์,2025-11-01,1,15,0,1,11,0,12,16,14.999985000015002,0.9374999414062536,0.06249999609375024,0.0,54.48785424872436,medium
2345-2550,ธูป,2025-11-01,0,0,1,0,0,1,1,1,0.0,0.0,0.0,0.9999990000010001,50.0,medium
2346-2566,เสื้อผ้าสำเร็จรูป : ความปลอดภัยจากสีและสารเคมีที่เป็นอันตราย,2025-11-01,0,0,1,0,0,1,1,1,0.0,0.0,0.0,0.9999990000010001,50.0,medium
2356-2550,แผ่นพีวีซีโฟมแข็ง,2025-11-01,0,0,3,0,0,3,3,3,0.0,0.0,0.0,0.9999996666667778,24.953051643192488,low
2357-2550,ท่ออะคริโลไนไทรล์-บิวทาไดอีน-สไตรีน (เอบีเอส) ทนความดัน,2025-11-01,0,0,1,0,0,1,1,1,0.0,0.0,0.0,0.9999990000010001,50.0,medium
236-2548,หลอดฟลูออเรสเซนซ์ขั้วคู่,2025-11-01,0,0,5,0,0,2,2,5,0.0,0.0,0.0,0.99999980000004,33.30203442879499,low
2369-2551,กรดไนทริกสำหรับอุตสาหกรรม,2025-11-01,0,0,1,0,0,1,1,1,0.0,0.0,0.0,0.9999990000010001,50.0,medium
237-2564,แหวนยางสำหรับท่อน้ำ,2025-11-01,0,0,3,0,0,3,3,3,0.0,0.0,0.0,0.9999996666667778,24.953051643192488,low
2377-2559,แผ่นยางปูพื้น,2025-11-01,0,0,7,0,0,7,7,7,0.0,0.0,0.0,0.9999998571428775,12.429577464788732,low
2378-2559,บล็อกยางปูพื้น,2025-11-01,0,0,2,0,0,2,2,2,0.0,0.0,0.0,0.99999950000025,33.30203442879499,low
