tis_number,tis_name_th,snapshot_date,num_manufacturing_licenses,num_import_licenses,num_display_licenses,num_manufacturing_entrepreneurs,num_import_entrepreneurs,num_display_entrepreneurs,num_total_entrepreneurs,total_licenses,import_to_manufacturing_ratio,import_dependency_ratio,domestic_share_ratio,display_to_total_ratio,risk_score,risk_label
1115-2535,แฟ้มกระดาษ,2025-11-01,0,0,3,0,0,3,3,3,0.0,0.0,0.0,0.9999996666667778,24.953051643192488,low
1122-2546,เก้าอี้ผู้ปฏิบัติการทันตกรรม,2025-11-01,0,0,6,0,0,5,5,6,0.0,0.0,0.0,0.9999998333333611,16.604068857589986,low
1123-2555,สีรองพื้นสำหรับงานปูน,2025-11-01,0,0,48,0,0,45,45,48,0.0,0.0,0.0,0.9999999791666672,2.084098795672586,low
1128-2562,แผ่นเหล็กมุงหลังคา,2025-11-01,0,0,26,0,0,24,24,26,0.0,0.0,0.0,0.9999999615384629,3.9136150234741782,low
1129-2535,ชุดพื้นยก,2025-11-01,0,0,2,0,0,2,2,2,0.0,0.0,0.0,0.99999950000025,33.30203442879499,low
113-2562,ตะปูเหล็ก,2025-11-01,0,0,7,0,0,7,7,7,0.0,0.0,0.0,0.9999998571428775,12.429577464788732,low
1132-2536,ภาชนะพลาสติกสำหรับบรรจุผลิตภัณฑ์ปิโตรเลียมจุดวาบไฟสูง,2025-11-01,0,0,1,0,0,1,1,1,0.0,0.0,0.0,0.9999990000010001,50.0,medium
1136-2559,ฟิล์มยืดหุ้มห่ออาหาร,2025-11-01,5,8,0,4,8,0,12,13,1.599999680000064,0.615384568047341,0.3846153550295881,0.0,38.3820853912991,low
1139-2536,ท่อทองแดงไร้ตะเข็บ,2025-11-01,0,0,8,0,0,1,1,8,0.0,0.0,0.0,0.9999998750000157,50.0,medium
1141-2565,ถ้วยกระดาษสำหรับเครื่องดื่ม,2025-11-01,0,0,4,0,0,4,4,4,0.0,0.0,0.0,0.9999997500000625,19.943661971830988,low
1146-2536,ชุดล้อสำหรับประตูและหน้าต่างบานเลื่อนอะลูมิเนียม,2025-11-01,0,0,3,0,0,3,3,3,0.0,0.0,0.0,0.9999996666667778,24.953051643192488,low
1147-2549,ดินสอสี,2025-11-01,0,0,3,0,0,3,3,3,0.0,0.0,0.0,0.9999996666667778,24.953051643192488,low
1149-2548,สีเทียน,2025-11-01,9,14,0,8,8,0,16,23,1.5555553827160686,0.6086956257088858,0.39130433081285515,0.0,36.234284543251995,low
115-2529,กุ้งเยือกแข็ง,2025-11-01,0,0,1,0,0,1,1,1,0.0,0.0,0.0,0.9999990000010001,50.0,medium
1155-2557,เครื่องปรับอากาศสำหรับห้อง แบบแยกส่วน,2025-11-01,0,0,116,0,0,18,18,116,0.0,0.0,0.0,0.9999999913793104,5.179145045712874,low
1163-2536,แผ่นเทอร์โมเซตติงแลมิเนต,2025-11-01,0,0,4,0,0,2,2,4,0.0,0.0,0.0,0.9999997500000625,33.30203442879499,low
1164-2559,ท่อคอนกรีตเสริมเหล็กหล่อสำเร็จรูปสี่เหลี่ยมสำหรับงานระบายน้ำใต้ทางเท้า วัสดุถมไม่เกิน 3.0 m,2025-11-01,0,0,137,0,0,119,119,137,0.0,0.0,0.0,0.99999999270073,0.7410015649452268,low
1165-2559,ท่อคอนกรีตเสริมเหล็กหล่อสำเร็จรูปสี่เหลี่ยมสำหรับงานระบายน้ำใต้ผิวจราจร วัสดุถมน้อยกว่า 0.6 m,2025-11-01,0,0,33,0,0,25,25,33,0.0,0.0,0.0,0.9999999696969707,3.7594799566630552,low
1166-2559,ท่อคอนกรีตเสริมเหล็กหล่อสำเร็จรูปสี่เหลี่ยมสำหรับงานระบายน้ำใต้ผิวจราจร วัสดุถมระหว่าง 0.6 m ถึง 3.0 m,2025-11-01,0,0,149,0,0,128,128,149,0.0,0.0,0.0,0.9999999932885907,0.6827528478363721,low
1170-2536,ฟรักโทสซิรัป,2025-11-01,0,0,1,0,0,1,1,1,0.0,0.0,0.0,0.9999990000010001,50.0,medium
1177-2556,น้ำยารองพื้นสำหรับพื้นผิวที่เป็นฝุ่น,2025-11-01,0,0,21,0,0,19,19,21,0.0,0.0,0.0,0.9999999523809546,4.915492957746479,low
1178-2549,สารขึ้นรูปยูเรียฟอร์มาลดีไฮด์,2025-11-01,0,0,2,0,0,2,2,2,0.0,0.0,0.0,0.99999950000025,33.30203442879499,low
118-2522,สายไฟฟ้าแรงต่ำสำหรับรถยนต์,2025-11-01,0,0,14,0,0,4,4,14,0.0,0.0,0.0,0.9999999285714337,19.943661971830988,low
1180(1)-2538,รถยนต์ขนาดใหญ่ที่ใช้เครื่องยนต์ดีเซล เฉพาะด้านความปลอดภัย : สารมลพิษจากเครื่องยนต์ ระดับที่ 1,2025-11-01,0,0,5,0,0,1,1,5,0.0,0.0,0.0,0.99999980000004,50.0,medium
1181-2536,ขวดนมพลาสติก,2025-11-01,0,0,1,0,0,1,1,1,0.0,0.0,0.0,0.9999990000010001,50.0,medium
1183-2536,เครื่องเรือนสำหรับสำนักงาน : โต๊ะทำงานเหล็กกล้า,2025-11-01,0,0,4,0,0,2,2,4,0.0,0.0,0.0,0.9999997500000625,33.30203442879499,low
1189-2536,ก๊อกน้ำสำหรับฝักบัวอาบน้ำ,2025-11-01,0,0,2,0,0,2,2,2,0.0,0.0,0.0,0.99999950000025,33.30203442879499,low
1193-2536,บ่อพักคอนกรีตเสริมเหล็กหล่อสำเร็จสำหรับงานระบายน้ำ,2025-11-01,0,0,5,0,0,5,5,5,0.0,0.0,0.0,0.99999980000004,16.604068857589986,low
12-2530,กระเบื้องซีเมนต์ใยหินแผ่นเรียบ,2025-11-01,0,0,14,0,0,7,7,14,0.0,0.0,0.0,0.9999999285714337,12.429577464788732,low
1200-2536,หมุดเกลียวเหล็กกล้าไร้สนิมยึดกระดูกหัวหลุมหกเหลี่ยมฐานหัวจมรูปทรงกลมเกลียวอสมมาตร,2025-11-01,0,0,1,0,0,1,1,1,0.0,0.0,0.0,0.9999990000010001,50.0,medium
1220-2541,ชุดประตูทนไฟแบบบานเปิด,2025-11-01,0,0,17,0,0,17,17,17,0.0,0.0,0.0,0.999999941176474,5.472091810119979,low
1222-2560,กระจกนิรภัยหลายชั้น,2025-11-01,35,87,0,32,32,0,64,122,2.4857142146938798,0.7131147482531578,0.28688524355012096,0.0,37.10319178663336,low
1227-2558,เหล็กโครงสร้างรูปพรรณรีดร้อน,2025-11-01,19,19,0,11,9,0,20,38,0.9999999473684238,0.49999998684210567,0.49999998684210567,0.0,29.67695022866647,low
1228-2561,เหล็กโครงสร้างรูปพรรณขึ้นรูปเย็น สำหรับงานโครงสร้างทั่วไป,2025-11-01,45,0,0,40,0,0,40,45,0.0,0.0,0.9999999777777784,0.0,2.349708004122295,low
1230-2537,จานเรซินอยด์สำหรับตัด,2025-11-01,0,0,3,0,0,3,3,3,0.0,0.0,0.0,0.9999996666667778,24.953051643192488,low
1231-2560,กระจกฉนวน,2025-11-01,14,71,0,12,28,0,40,85,5.0714282091837,0.8352941078200693,0.16470588041522494,0.0,44.11441388647523,medium
1237-2537,ฝาและขอบบ่อพักคอนกรีตเสริมเหล็กหล่อสำเร็จ,2025-11-01,0,0,3,0,0,3,3,3,0.0,0.0,0.0,0.9999996666667778,24.953051643192488,low
124-2518,สายพานแบนส่งกำลัง,2025-11-01,0,0,2,0,0,2,2,2,0.0,0.0,0.0,0.99999950000025,33.30203442879499,low
1245-2553,สารอัดแบบเมลามีนฟอร์แมลดีไฮด์,2025-11-01,0,0,3,0,0,3,3,3,0.0,0.0,0.0,0.9999996666667778,24.953051643192488,low
1253-2537,เครื่องเรือนอเนกประสงค์ : เก้าอี้โลหะ,2025-11-01,0,0,5,0,0,3,3,5,0.0,0.0,0.0,0.99999980000004,24.953051643192488,low
126-2548,ข้อต่อซีเมนต์ใยหินชนิดทนความดัน,2025-11-01,0,0,3,0,0,2,2,3,0.0,0.0,0.0,0.9999996666667778,33.30203442879499,low
127-2536,พัดลมไฟฟ้ากระแสสลับชนิดตั้งพื้น,2025-11-01,0,0,4,0,0,3,3,4,0.0,0.0,0.0,0.9999997500000625,24.953051643192488,low
1277-2555,ก๊อกน้ำสำหรับอ่างล้างชาม,2025-11-01,0,0,6,0,0,2,2,6,0.0,0.0,0.0,0.9999998333333611,33.30203442879499,low
1278-2555,ก๊อกน้ำสำหรับอ่างล้างหน้า-ล้างมือ,2025-11-01,0,0,9,0,0,3,3,9,0.0,0.0,0.0,0.9999998888889013,24.953051643192488,low
128-2560,ท่อคอนกรีตเสริมเหล็กหล่อสำเร็จสำหรับงานระบายน้ำ,2025-11-01,0,0,457,0,0,439,439,457,0.0,0.0,0.0,0.9999999978118163,0.13380281690140844,low
1282-2538,สะดือสำหรับอ่างล้างหน้า-ล้างมือ,2025-11-01,0,0,2,0,0,2,2,2,0.0,0.0,0.0,0.99999950000025,33.30203442879499,low
1283-2538,เครื่องตัดหญ้าแบบใบมีดหมุนเหวี่ยงตามแนวระดับสำหรับรถแทรกเตอร์ล้อยางเพื่อการเกษตร,2025-11-01,0,0,1,0,0,1,1,1,0.0,0.0,0.0,0.9999990000010001,50.0,medium
1284-2560,ตู้เหล็กเก็บสัมภาระ,2025-11-01,0,0,9,0,0,9,9,9,0.0,0.0,0.0,0.9999998888889013,9.924882629107982,low
1288-2538,วงกบและกรอบบานโลหะสำหรับประตูและหน้าต่าง : ประตูเหล็กกล้าขึ้นรูปเย็น,2025-11-01,0,0,27,0,0,19,19,27,0.0,0.0,0.0,0.9999999629629643,4.915492957746479,low
13-2566,กรดซัลฟิวริกสำหรับแบตเตอรี่ชนิดตะกั่ว-กรด,2025-11-01,0,0,2,0,0,2,2,2,0.0,0.0,0.0,0.99999950000025,33.30203442879499,low
1303-2538,เหล็กโครงสร้างรูปพรรณเชื่อมประกอบ,2025-11-01,0,0,3,0,0,3,3,3,0.0,0.0,0.0,0.9999996666667778,24.953051643192488,low
1306-2566,พอลิโพรพิลีนเรซิน,2025-11-01,0,0,5,0,0,3,3,5,0.0,0.0,0.0,0.99999980000004,24.953051643192488,low
131-2523,รองเท้าแตะฟองน้ำ,2025-11-01,0,0,2,0,0,2,2,2,0.0,0.0,0.0,0.99999950000025,33.30203442879499,low
1316-2562,ชั้นโลหะวางของ,2025-11-01,0,0,1,0,0,1,1,1,0.0,0.0,0.0,0.9999990000010001,50.0,medium
1318-2552,ทินเนอร์ระเหยช้า,2025-11-01,0,0,1,0,0,1,1,1,0.0,0.0,0.0,0.9999990000010001,50.0,medium
132-2564,รองเท้าผ้าใบ,2025-11-01,0,0,1,0,0,1,1,1,0.0,0.0,0.0,0.9999990000010001,50.0,medium
1326-2560,เครื่องเรือนสำหรับที่พักอาศัย : ตู้เหล็กเก็บเสื้อผ้า,2025-11-01,0,0,4,0,0,4,4,4,0.0,0.0,0.0,0.9999997500000625,19.943661971830988,low
133-2562,ปูนซีเมนต์ปอร์ตแลนด์ขาว,2025-11-01,1,5,0,1,5,0,6,6,4.999995000005001,0.8333331944444675,0.16666663888889352,0.0,55.885305416980074,medium
1342-2539,น้ำตาลทรายแดง,2025-11-01,0,0,1,0,0,1,1,1,0.0,0.0,0.0,0.9999990000010001,50.0,medium
1344-2560,กระจกโฟลตสีตัดแสง,2025-11-01,8,78,0,3,23,0,26,86,9.749998781250154,0.9069767336398055,0.09302325473228774,0.0,48.96559951771431,medium
1350-2539,รถแทรกเตอร์เดินตาม,2025-11-01,0,0,1,0,0,1,1,1,0.0,0.0,0.0,0.9999990000010001,50.0,medium
1368-2539,ประตูระบายอากาศสำหรับงานประปา,2025-11-01,0,0,26,0,0,16,16,26,0.0,0.0,0.0,0.9999999615384629,5.79950289975145,low
1377-2555,ก๊อกน้ำปิดอัตโนมัติสำหรับอ่างล้างหน้า-ล้างมือ,2025-11-01,0,0,5,0,0,2,2,5,0.0,0.0,0.0,0.99999980000004,33.30203442879499,low
1378-2559,เหล็กกล้าไร้สนิมทรงแบนรีดเย็น แผ่นม้วน แผ่นแถบ และแผ่นตัด,2025-11-01,0,0,2,0,0,1,1,2,0.0,0.0,0.0,0.99999950000025,50.0,medium
1379-2551,ถังเก็บน้ำพลาสติก,2025-11-01,0,0,50,0,0,36,36,50,0.0,0.0,0.0,0.9999999800000005,2.6138814871209237,low
138-2562,ลวดผูกเหล็ก,2025-11-01,0,0,6,0,0,6,6,6,0.0,0.0,0.0,0.9999998333333611,14.218645204560698,low
1388-2539,ทองแดงและทองแดงเจือแผ่นและแผ่นแถบ,2025-11-01,0,0,1,0,0,1,1,1,0.0,0.0,0.0,0.9999990000010001,50.0,medium
1389-2559,เครื่องอบผ้า คุณลักษณะที่ต้องการด้านความปลอดภัย,2025-11-01,6,83,0,4,30,0,34,89,13.833331027778161,0.9325842591844465,0.06741572957959854,0.0,49.397825177821424,medium
1390-2560,เข็มพืดเหล็กกล้ารีดร้อน,2025-11-01,1,7,0,1,6,0,7,8,6.9999930000070005,0.8749998906250137,0.12499998437500197,0.0,56.17957251074523,medium
1394-2561,สายดูดเสมหะสำหรับใช้ครั้งเดียว,2025-11-01,0,0,5,0,0,5,5,5,0.0,0.0,0.0,0.99999980000004,16.604068857589986,low
1395-2562,บล็อกแก้วกลวง,2025-11-01,0,0,2,0,0,1,1,2,0.0,0.0,0.0,0.99999950000025,50.0,medium
1398-2565,เข็มฉีดยาผ่านใต้ผิวหนังปราศจากเชื้อชนิดใช้ครั้งเดียว,2025-11-01,0,0,1,0,0,1,1,1,0.0,0.0,0.0,0.9999990000010001,50.0,medium
14-2565,มอโนโซเดียม แอล-กลูทาเมต,2025-11-01,0,0,3,0,0,3,3,3,0.0,0.0,0.0,0.9999996666667778,24.953051643192488,low
1404-2540,ที่นอนฟองน้ำโพลิยูรีเทน,2025-11-01,0,0,1,0,0,1,1,1,0.0,0.0,0.0,0.9999990000010001,50.0,medium
1406-2564,สีเคลือบด้านแอลคีด,2025-11-01,0,0,2,0,0,2,2,2,0.0,0.0,0.0,0.99999950000025,33.30203442879499,low
1407-2540,กระเบื้องซีเมนต์เส้นใยแผ่นลอน,2025-11-01,0,0,19,0,0,5,5,19,0.0,0.0,0.0,0.9999999473684238,16.604068857589986,low
1413-2540,ประตูน้ำเหล็กหล่อ : ลิ้นยกแบบลิ้นหุ้มยางสำหรับงานประปา,2025-11-01,0,0,4,0,0,3,3,4,0.0,0.0,0.0,0.9999997500000625,24.953051643192488,low
1414-2540,แผงรั้วโลหะ,2025-11-01,0,0,2,0,0,2,2,2,0.0,0.0,0.0,0.99999950000025,33.30203442879499,low
1419-2540,เครื่องกรองน้ำชนิดใช้ถ่านกัมมันต์เม็ดและเรซินแลกเปลี่ยนแคตไอออน,2025-11-01,0,0,3,0,0,3,3,3,0.0,0.0,0.0,0.9999996666667778,24.953051643192488,low
1420-2551,ไส้กรองความขุ่นสำหรับเครื่องกรองน้ำดื่ม,2025-11-01,0,0,4,0,0,4,4,4,0.0,0.0,0.0,0.9999997500000625,19.943661971830988,low
1424-2540,เครื่องเรือนสำหรับสำนักงาน: ฉากกั้นห้อง,2025-11-01,0,0,1,0,0,1,1,1,0.0,0.0,0.0,0.9999990000010001,50.0,medium
1425-2540,ที่นอนยางฟองน้ำลาเทกซ์,2025-11-01,0,0,2,0,0,2,2,2,0.0,0.0,0.0,0.99999950000025,33.30203442879499,low
1427-2561,แผ่นซีเมนต์เส้นใย : แผ่นเรียบ,2025-11-01,0,0,17,0,0,7,7,17,0.0,0.0,0.0,0.999999941176474,12.429577464788732,low
1436 เล่ม 2-2564,ชุดประกอบสวิตช์เกียร์และเกียร์ควบคุมไฟฟ้าแรงดันต่ำ เล่ม 2 ชุดสวิตช์เกียร์และชุดเกียร์ควบคุม,2025-11-01,0,0,28,0,0,28,28,28,0.0,0.0,0.0,0.9999999642857155,3.3608547838756677,low
1436 เล่ม 3-2564,ชุดประกอบสวิตช์เกียร์และเกียร์ควบคุมไฟฟ้าแรงดันต่ำ เล่ม 3 บอร์ดจ่ายไฟฟ้าประสงค์ให้ใช้งานโดยบุคคลทั่วไป,2025-11-01,20,0,18,19,0,17,36,38,0.0,0.0,0.9999999500000024,0.4736841980609422,2.6138814871209237,low
1439-2558,ท่อเหล็กกล้าไร้สนิมออสเทไนต์สำหรับหม้อน้ำเครื่องกำเนิดไอน้ำยวดยิ่ง เครื่องแลกเปลี่ยนความร้อน และเครื่องควบแน่น,2025-11-01,0,0,2,0,0,2,2,2,0.0,0.0,0.0,0.99999950000025,33.30203442879499,low
1462-2562,เครื่องซักผ้าใช้ในที่อยู่อาศัย-คุณลักษณะที่ต้องการด้านประสิทธิภาพพลังงาน,2025-11-01,10,79,0,10,31,0,41,89,7.89999921000008,0.8876404394647142,0.11235954929933091,0.0,46.673549434791404,medium
1463-2556,เครื่องซักผ้าใช้ในที่อยู่อาศัย - คุณลักษณะที่ต้องการด้านความปลอดภัย,2025-11-01,21,155,0,11,44,0,55,176,7.3809520294784745,0.8806818131779443,0.11931818114023761,0.0,45.72926220310228,medium
1479-2558,เหล็กกล้าทรงแบนรีดร้อน สำหรับงานโครงสร้างทั่วไป,2025-11-01,93,407,0,65,96,0,161,500,4.376344038964043,0.813999998372,0.185999999628,0.0,41.22454685311239,medium
1483-2549,ท่อไฟเบอร์กลาสส์รับความดันสำหรับงานประปา,2025-11-01,0,0,11,0,0,5,5,11,0.0,0.0,0.0,0.9999999090909174,16.604068857589986,low
1484-2540,ท่อไฟเบอร์กลาสส์รับความดันสำหรับงานอุตสาหกรรมและงานระบายน้ำเสีย,2025-11-01,0,0,8,0,0,4,4,8,0.0,0.0,0.0,0.9999998750000157,19.943661971830988,low
1485-2540,ท่อไฟเบอร์กลาสส์ไม่รับความดันสำหรับงานอุตสาหกรรมและงานระบายน้ำเสีย,2025-11-01,0,0,4,0,0,3,3,4,0.0,0.0,0.0,0.9999997500000625,24.953051643192488,low
1495-2567,เครื่องเรือนสำหรับสถานศึกษา : เก้าอี้เรียน,2025-11-01,0,0,1,0,0,1,1,1,0.0,0.0,0.0,0.9999990000010001,50.0,medium
1496-2560,เครื่องเรือนสำหรับสำนักงาน : ชุดตู้เหล็กเลื่อน,2025-11-01,0,0,4,0,0,4,4,4,0.0,0.0,0.0,0.9999997500000625,19.943661971830988,low
1497-2548,ชุดหัวฉีดชะล้าง,2025-11-01,0,0,11,0,0,9,9,11,0.0,0.0,0.0,0.9999999090909174,9.924882629107982,low
1499-2563,เหล็กกล้าทรงแบนรีดร้อน สำหรับงานโครงสร้างเชื่อมประกอบ,2025-11-01,23,54,0,16,36,0,52,77,2.347825984877131,0.7012986921909261,0.2987012948220611,0.0,36.861374033502,low
15-2562,ปูนซีเมนต์ปอร์ตแลนด์,2025-11-01,15,15,0,9,12,0,21,30,0.9999999333333378,0.4999999833333339,0.4999999833333339,0.0,29.46009335749795,low
150-2562,โซเดียมไฮดรอกไซด์สำหรับอุตสาหกรรม,2025-11-01,0,0,8,0,0,6,6,8,0.0,0.0,0.0,0.9999998750000157,14.218645204560698,low
1500-2541,บานประตูรั้วโลหะ,2025-11-01,0,0,2,0,0,2,2,2,0.0,0.0,0.0,0.99999950000025,33.30203442879499,low
1501-2564,เหล็กกล้าทรงแบนรีดร้อน สำหรับงานโครงสร้างเครื่องจักรกล,2025-11-01,21,42,0,17,23,0,40,63,1.9999999047619093,0.6666666560846563,0.3333333280423281,0.0,35.683041200511965,low
1505-2541,ชิ้นส่วนคอนกรีตมวลเบาแบบมีฟองอากาศ-อบไอน้ำ,2025-11-01,0,0,20,0,0,11,11,20,0.0,0.0,0.0,0.9999999500000024,8.25508607198748,low
1510-2541,แผ่นคอนกรีตมวลเบาเสริมเหล็กแบบมีฟองอากาศ-อบไอน้ำ,2025-11-01,0,0,3,0,0,2,2,3,0.0,0.0,0.0,0.9999996666667778,33.30203442879499,low
1512-2563,สีย้อมไม้ชนิดน้ำ,2025-11-01,0,0,2,0,0,2,2,2,0.0,0.0,0.0,0.99999950000025,33.30203442879499,low
1513-2563,สีย้อมเคลือบไม้ชนิดตัวทำละลาย,2025-11-01,0,0,5,0,0,5,5,5,0.0,0.0,0.0,0.99999980000004,16.604068857589986,low
