tis_number,tis_name_th,snapshot_date,num_total_entrepreneurs,import_dependency_ratio,entrepreneur_risk_raw,entrepreneur_risk_norm,import_dependency_norm,risk_score,risk_label
1230-2537,จานเรซินอยด์สำหรับตัด,2025-11-01,3,0.0,0.25,0.4990610328638498,0.0,24.953051643192488,low
1231-2560,กระจกฉนวน,2025-11-01,40,0.8352941078200693,0.024390243902439025,0.0469941600824459,0.8352941176470589,44.11441388647523,medium
1237-2537,ฝาและขอบบ่อพักคอนกรีตเสริมเหล็กหล่อสำเร็จ,2025-11-01,3,0.0,0.25,0.4990610328638498,0.0,24.953051643192488,low
124-2518,สายพานแบนส่งกำลัง,2025-11-01,2,0.0,0.3333333333333333,0.6660406885758998,0.0,33.30203442879499,low
1245-2553,สารอัดแบบเมลามีนฟอร์แมลดีไฮด์,2025-11-01,3,0.0,0.25,0.4990610328638498,0.0,24.953051643192488,low
1253-2537,เครื่องเรือนอเนกประสงค์ : เก้าอี้โลหะ,2025-11-01,3,0.0,0.25,0.4990610328638498,0.0,24.953051643192488,low
126-2548,ข้อต่อซีเมนต์ใยหินชนิดทนความดัน,2025-11-01,2,0.0,0.3333333333333333,0.6660406885758998,0.0,33.30203442879499,low
127-2536,พัดลมไฟฟ้ากระแสสลับชนิดตั้งพื้น,2025-11-01,3,0.0,0.25,0.4990610328638498,0.0,24.953051643192488,low
1277-2555,ก๊อกน้ำสำหรับอ่างล้างชาม,2025-11-01,2,0.0,0.3333333333333333,0.6660406885758998,0.0,33.30203442879499,low
1278-2555,ก๊อกน้ำสำหรับอ่างล้างหน้า-ล้างมือ,2025-11-01,3,0.0,0.25,0.4990610328638498,0.0,24.953051643192488,low
128-2560,ท่อคอนกรีตเสริมเหล็กหล่อสำเร็จสำหรับงานระบายน้ำ,2025-11-01,439,0.0,0.0022727272727272726,0.002676056338028169,0.0,0.13380281690140844,low
1282-2538,สะดือสำหรับอ่างล้างหน้า-ล้างมือ,2025-11-01,2,0.0,0.3333333333333333,0.6660406885758998,0.0,33.30203442879499,low
1283-2538,เครื่องตัดหญ้าแบบใบมีดหมุนเหวี่ยงตามแนวระดับสำหรับรถแทรกเตอร์ล้อยางเพื่อการเกษตร,2025-11-01,1,0.0,0.5,1.0,0.0,50.0,medium
1284-2560,ตู้เหล็กเก็บสัมภาระ,2025-11-01,9,0.0,0.1,0.19849765258215962,0.0,9.924882629107982,low
1288-2538,วงกบและกรอบบานโลหะสำหรับประตูและหน้าต่าง : ประตูเหล็กกล้าขึ้นรูปเย็น,2025-11-01,19,0.0,0.05,0.09830985915492958,0.0,4.915492957746479,low
13-2566,กรดซัลฟิวริกสำหรับแบตเตอรี่ชนิดตะกั่ว-กรด,2025-11-01,2,0.0,0.3333333333333333,0.6660406885758998,0.0,33.30203442879499,low
1303-2538,เหล็กโครงสร้างรูปพรรณเชื่อมประกอบ,2025-11-01,3,0.0,0.25,0.4990610328638498,0.0,24.953051643192488,low
1306-2566,พอลิโพรพิลีนเรซิน,2025-11-01,3,0.0,0.25,0.4990610328638498,0.0,24.953051643192488,low
131-2523,รองเท้าแตะฟองน้ำ,2025-11-01,2,0.0,0.3333333333333333,0.6660406885758998,0.0,33.30203442879499,low
